school,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new
Texas Tech. U,2003,69,22,22,,,,,,2.7
U. of Alabama- Birmingham,2003,91,17,6,,,,,,2.8
U. of Arkansas,2003,86,36,21,,,,,,2.8
U. of Cincinnati,2003,88,12,7,,,,,,2.7
U. of Hawaii- Manoa,2003,73,24,14,,,,,,2.7
U. of Idaho,2003,82,18,18,,,,,,2.7
U. of Mississippi,2003,67,35,15,,,,,,2.7
U. of Nevada- Reno,2003,90,18,11,,,,,,2.5
U. of New Mexico,2003,77,18,10,,,,,,2.9
U. of Southern Mississippi,2003,62,36,18,,,,,,2.2
U. of South Florida,2003,62,20,6,,,,,,2.6
U. of Wyoming,2003,95,20,12,,,,,,2.6
Utah State U.,2003,89,22,12,,,,,,2.6
Western Michigan U.,2003,80,16,10,,,,,,2.6
West Virginia U.,2003,94,19,14,,,,,,2.7
U. of Utah,2004,86,25,12,,41,,,,3.1
Colorado State U.,2004,79,21,10,,40,,,,2.9
U. of Oregon,2004,84,22,13,,40,,,,3.4
U. of S.C.- Columbia,2004,64,26,21,,40,,,,3
U. at Buffalo-SUNY,2004,62,22,9,,39,,,,3.1
U. of Arkansas,2004,85,36,21,,39,,,,2.8
U. of Kentucky,2004,81,28,20,,39,,,,3
U. of Oklahoma,2004,82,36,21,,39,,,,3
Washington State U.,2004,78,30,20,,39,,,,3
Arizona State U.,2004,88,26,10,,,,,,3.3
Ball State U.,2004,76,16,14,,,,,,2.6
Bowling Green State U.,2004,90,10,14,,,,,,2.6
East Carolina U.,2004,77,15,14,,,,,,2.3
Kansas State U.,2004,60,,22,,,,,,2.9
Louisiana State U.- Baton Rouge,2004,81,25,14,,,,,,2.9
 Mississippi State U.,2004,75,25,18,,,,,,2.4
Oklahoma State U.,2004,89,25,12,,,,,,2.7
Oregon State U.,2004,88,18,14,,,,,,2.9
Rutgers- Newark,2004,48,33,13,,,,,,3.1
Temple U.,2004,60,17,9,,,,,,2.9
Texas Tech U.,2004,67,21,21,,,,,,2.7
U. of Alabama-Birmingham,2004,81,19,5,,,,,,2.8
U. of Cincinnati,2004,88,13,8,,,,,,2.7
U. of Hawaii-Manoa,2004,59,26,13,,,,,,2.7
U. of Idaho,2004,81,20,16,,,,,,2.7
U. of Louisville,2004,79,21,11,,,,,,2.6
U. of Mississippi,2004,80,35,16,,,,,,2.8
U. of Nevada-Reno,2004,88,16,8,,,,,,2.5
U. of New Mexico,2004,75,17,9,,,,,,2.9
U. of South Florida,2004,62,21,5,,,,,,2.6
U. of Wyoming,2004,95,19,12,,,,,,2.6
Utah State U.,2004,94,25,11,,,,,,2.6
Western Michigan U.,2004,82,15,11,,,,,,2.5
West Virginia U.,2004,92,20,12,,,,,,2.7
Florida Atlantic U.,2004,72,,3,,,,,,2.2
Florida International U.,2004,43,43,3,,,,,,2.3
Kent State U,2004,89,11,7,,,,,,2.7
Louisiana Tech U.,2004,92,18,19,,,,,,2.2
Middle Tennessee State U.,2004,75,12,6,,,,,,2.1
Northern Illinois U.,2004,62,9,7,,,,,,2.4
San Diego State U.,2004,50,,4,,,,,,2.8
U. of Akron,2004,71,8,11,,,,,,2.2
U. of Central Florida,2004,60,35,9,,,,,,2.4
U. of Houston,2004,78,20,5,,,,,,2.6
U. of Memphis,2004,73,,2,,,,,,2.4
U. of North Texas,2004,68,20,9,,,,,,2.3
U. of Southern Mississippi,2004,49,,,,,,,,2.2
U. of Texas El Paso,2004,98,17,7,,,,,,2.3
U. of Toledo,2004,96,16,7,,,,,,2.3
Harvard University,2004,10,90,48,,100,,,,4.9
Princeton University,2004,10,94,61,,100,,,,4.9
Yale University,2004,11,99,45,,99,,,,4.9
University of Pennsylvania,2004,20,93,39,,95,,,,4.6
Duke University,2004,25,88,46,,94,,,,4.6
Massachusetts Inst. Of Technology,2004,16,97,37,,94,,,,4.9
Stanford University,2004,13,90,38,,94,,,,4.9
California Institute of Technology,2004,17,94,34,,93,,,,4.7
Columbia University,2004,11,81,33,,88,,,,4.7
Dartmouth Colllege,2004,18,84,47,,88,,,,4.4
Northwestern University,2004,33,83,29,,87,,,,4.4
Washington University in St. Louis,2004,20,91,38,,87,,,,4.1
Brown University,2004,16,87,38,,86,,,,4.5
Cornell University,2004,31,87,34,,85,,,,4.6
Johns Hopkins University,2004,30,78,29,,85,,,,4.6
University of Chicago,2004,40,78,29,,85,,,,4.6
Rice University,2004,24,86,36,,83,,,,4.2
University of Notre Dame,2004,29,83,48,,80,,,,3.9
Vanderbilt University,2004,40,77,27,,80,,,,4.1
Emory University,2004,42,90,25,,79,,,,4
University of California - Berkeley,2004,24,99,15,,78,,,,4.8
Carnegie Mellon University,2004,38,72,25,,76,,,,4.3
University of Michigan - Ann Arbor,2004,53,90,14,,76,,,,4.6
University of Virginia,2004,39,85,26,,76,,,,4.3
Georgetown University,2004,23,83,33,,75,,,,4
Univ. of California - Los Angeles,2004,24,97,16,,75,,,,4.3
Wake Forest University,2004,45,65,33,,73,,,,3.5
Tufts University,2004,26,70,32,,72,,,,3.6
U. of North Carolina-Chapel Hill,2004,37,70,25,,71,,,,4.2
Univ. of Southern California,2004,30,84,34,,70,,,,3.9
College of William and Mary,2004,34,85,26,,67,,,,3.8
Brandeis University,2004,44,69,32,,66,,,,3.6
New York University,2004,32,63,11,,66,,,,3.8
Univ. of Wisconsin-Madison,2004,65,55,15,,66,,,,4.2
Case Western Reserve Univ. ,2004,75,63,25,,65,,,,3.6
Univ. of California - San Diego,2004,41,99,9,,65,,,,3.8
Boston College,2004,31,73,25,,64,,,,3.6
Lehigh University,2004,40,59,40,,64,,,,3.1
U. of Illinois - Urbana Champaign,2004,63,57,12,,64,,,,4
University of Rochester,2004,49,71,20,,64,,,,3.4
Georgia Institute of Technology,2004,63,58,32,,63,,,,4
University of California - Davis,2004,60,95,10,,62,,,,3.8
Tulane University,2004,55,65,24,,60,,,,3.5
University of California - Irvine,2004,54,96,9,,60,,,,3.6
University of California - Santa Barbara,2004,50,95,16,,59,,,,3.5
Rensselaer Polytechnic Inst.,2004,80,58,21,,58,,,,3.6
University of Texas - Austin,2004,47,69,12,,58,,,,4.1
University of Washington,2004,71,48,14,,58,,,,3.9
Yeshiva University,2004,78,,18,,58,,,,2.9
Pennsylvania State U. - University Park,2004,55,43,20,,57,,,,3.8
University of Florida,2004,52,79,18,,57,,,,3.6
George Washington U.,2004,39,65,25,,56,,,,3.4
Pepperdine University,2004,25,45,18,,56,,,,3.2
Syracuse University,2004,62,44,20,,56,,,,3.4
Worcester Poly Inst.,2004,71,51,23,,55,,,,2.9
Boston University,2004,52,60,,,54,,,,3.4
U. of Maryland-College Park,2004,43,56,16,,54,,,,3.7
Rutgers - New Brunswick,2004,54,39,17,,53,,,,3.3
University of Georgia,2004,75,43,19,,53,,,,3.5
University of Iowa,2004,82,21,15,,53,,,,3.7
University of Miami,2004,44,60,14,,53,,,,3.2
Miami Univ. - Oxford,2004,71,39,18,,52,,,,3.4
Ohio State Univ-Columbus,2004,72,33,16,,52,,,,3.7
Purdue U. -W. Lafayette,2004,79,27,17,,52,,,,3.8
Texas A&M U. - College Station,2004,67,53,20,,52,,,,3.5
University of Connecticut,2004,53,30,24,,51,,,,3.2
University of Delaware,2004,42,35,25,,51,,,,3.2
U. of Minnesota-Twin Cities,2004,76,33,11,,51,,,,3.8
University of Pittsburgh,2004,48,43,16,,51,,,,3.4
Fordham University,2004,54,35,13,,50,,,,3.1
Indiana Univ - Bloomington,2004,81,23,16,,49,,,,3.8
Michigan State University,2004,71,28,16,,49,,,,3.5
Southern Methodist U.,2004,65,35,16,,49,,,,3.1
Brigham Young U. -Provo,2004,78,51,22,,48,,,,3
Clark University,2004,63,30,24,,48,,,,3
Clemson University,2004,61,42,25,,48,,,,3.1
SUNY - Binghamton,2004,45,38,13,,48,,,,3.1
U. of California - Santa Cruz,2004,80,96,18,,48,,,,3.2
Univ. Colorado-Boulder,2004,80,24,11,,48,,,,3.5
Virginia Tech,2004,69,40,16,,48,,,,3.4
Stevens Inst. Of Tech.,2004,51,47,31,,47,,,,2.7
St. Louis University,2004,71,31,13,,47,,,,3
Univ. of California - Riverside,2004,79,94,5,,47,,,,3.2
Baylor University,2004,82,38,25,,46,,,,3.2
Iowa State University,2004,90,24,16,,46,,,,3.3
American University,2004,59,36,15,,45,,,,3
N.C. State U. - Raleigh,2004,62,40,23,,45,,,,3.1
University of Alabama,2004,87,24,37,,45,,,,3.1
Univ. of Missouri - Columbia,2004,89,29,8,,45,,,,3.3
Auburn University,2004,78,31,22,,44,,,,3
Howard University,2004,56,24,20,,44,,,,2.9
Marquette University,2004,83,30,18,,44,,,,2.9
University of Denver,2004,79,35,13,,44,,,,2.6
University of Kansas,2004,68,28,17,,44,,,,3.4
University of Tennessee,2004,71,26,13,,44,,,,3.2
University of Tulsa,2004,76,60,20,,44,,,,2.6
University of Vermont,2004,75,21,17,,44,,,,3
Ohio University,2004,79,19,9,,43,,,,3.1
SUNY Col. Env. Sci. & Forest.,2004,57,26,21,,43,,,,2.5
Texas Christian University,2004,65,33,28,,43,,,,2.7
University of Arizona,2004,85,34,10,,43,,,,3.6
University of Dayton,2004,82,19,26,,43,,,,2.6
U. of Mass.-Amherst,2004,82,16,15,,43,,,,3.3
Univ. of Nebraska - Lincoln,2004,76,25,23,,43,,,,3.2
University of New Hampshire,2004,69,20,15,,43,,,,2.9
Drexel University,2004,70,31,19,,42,,,,3
Illinois Institute of Technology,2004,59,37,12,,42,,,,2.9
SUNY-Stony Brook,2004,51,32,5,,42,,,,3.2
University of Missouri-Rolla,2004,79,40,21,,42,,,,2.8
University of San Diego,2004,51,45,11,,42,,,,2.8
Catholic U. of America,2004,82,24,12,,41,,,,2.8
Florida State University,2004,64,55,12,,41,,,,3.1
Loyola University Chicago,2004,82,28,7,,41,,,,2.8
University of San Francisco,2004,82,23,12,,41,,,,2.9
University of the Pacific,2004,71,37,12,,41,,,,2.6
SUNY-Buffalo,2005,56,24,10,,,,,,3.1
U. of Oregon,2005,91,21,12,,,,,,3.3
Colorado State U.,2005,83,22,10,,,,,,2.9
U. of Kentucky,2005,79,26,21,,,,,,3
U. of Utah,2005,86,27,11,,,,,,3.1
Washington State U.,2005,75,34,18,,,,,,3
Arizona State U.,2005,86,27,9,,,,,,3.2
Ball State U.,2005,76,18,14,,,,,,2.6
Bowling Green State U.,2005,90,13,15,,,,,,2.6
East Carolina State U.,2005,78,14,6,,,,,,2.2
Florida Inst. Of Tech,2005,82,30,9,,,,,,2.3
Kansas State U.,2005,48,32,22,,,,,,2.8
Louisiana State U.-Baton Rouge,2005,78,23,12,,,,,,2.9
Louisiana Tech U.,2005,86,18,23,,,,,,2.3
Mississippi State U.,2005,68,26,16,,,,,,2.4
New Mexico State U.,2005,82,20,6,,,,,,2.5
Oklahoma State U.,2005,89,24,16,,,,,,2.7
Oregon State U.,2005,90,19,14,,,,,,2.9
Rutgers-Newark,2005,51,31,12,,,,,,3
Temple U.,2005,63,17,9,,,,,,2.9
Texas Tech U.,2005,67,23,20,,,,,,2.6
U. of Alabama-Birmingham,2005,86,22,7,,,,,,2.8
U. of Arkansas,2005,78,36,21,,,,,,2.7
U. of Central Florida,2005,55,35,9,,,,,,2.4
U. of Cincinnati,2005,77,21,8,,,,,,2.7
U. of Hawaii-Manoa,2005,65,26,12,,,,,,2.6
U. of Idaho,2005,83,19,15,,,,,,2.6
U. of Mississippi,2005,80,35,17,,,,,,2.7
U. of Nevada-Reno,2005,87,16,8,,,,,,2.5
U. of New Mexico,2005,76,18,9,,,,,,2.9
U. of Wyoming,2005,95,22,12,,,,,,2.6
Utah State U.,2005,92,27,11,,,,,,2.6
Western Michigan U.,2005,85,14,10,,,,,,2.5
West Virginia U.,2005,89,17,9,,,,,,2.7
Central Michigan U.,2005,74,16,11,,,,,,2.2
Florida Atlantic U.,2005,66,,2,,,,,,2.3
Florida Int. U.,2005,49,43,3,,,,,,2.3
Kent State U.,2005,92,12,7,,,,,,2.5
Middle Tennessee State U.,2005,84,16,5,,,,,,2
Northern Ilinois U.,2005,56,9,6,,,,,,2.4
San Diego State .,2005,47,,4,,,,,,2.7
U. of Akron,2005,86,11,11,,,,,,2.2
U of Houston,2005,81,23,6,,,,,,2.5
U. of Louisville,2005,81,23,9,,,,,,2.6
U. of Memphis,2005,70,16,4,,,,,,2.3
U. of North Texas,2005,71,21,8,,,,,,2.3
U. of Southern Mississippi,2005,56,23,12,,,,,,2.1
U. of South Florida,2005,51,24,5,,,,,,2.5
U. of Texas-El Paso,2005,99,18,9,,,,,,2.3
U. of Toledo,2005,99,16,8,,,,,,2.3
Harvard University (MA),2005,11,96,47,,100,,,,4.9
Princeton University (NJ),2005,13,94,61,,100,,,,4.9
Yale University (CT),2005,10,95,46,,98,,,,4.9
University of Pennsylvania,2005,21,94,40,,95,,,,4.5
Duke University (NC),2005,24,87,45,,94,,,,4.6
Stanford University (CA),2005,13,87,38,,94,,,,4.9
California Institute of Tehcnolgy,2005,21,93,32,,93,,,,4.7
Massachusetts Inst. Of Technology,2005,16,97,37,,93,,,,4.9
Columbia University (NY),2005,13,86,34,,89,,,,4.7
Dartmouth College (NH),2005,19,88,49,,89,,,,4.4
Washington University in St. Louis,2005,22,93,39,,88,,,,4.1
Northwestern University (IL),2005,30,82,29,,87,,,,4.4
Cornell University (NY),2005,29,85,35,,86,,,,4.6
Johns Hopkins University (MD),2005,30,80,33,,86,,,,4.6
Brown University (RI),2005,17,90,38,,85,,,,4.4
University of Chicago,2005,40,82,29,,85,,,,4.6
Rice University (TX),2005,22,86,36,,82,,,,4.1
University of Notre Dame (IN),2005,30,85,49,,80,,,,3.9
Vanderbilt University (TN),2005,38,77,28,,80,,,,4
Emory University (GA),2005,39,90,19,,79,,,,4
University of California - Berkeley,2005,25,99,15,,79,,,,4.8
Carnegie Mellon University (PA),2005,42,69,26,,77,,,,4.2
Georgetown University(DC),2005,22,90,33,,76,,,,4
University of Virginia,2005,39,84,27,,76,,,,4.3
University of California - Los Angeles,2005,23,97,16,,75,,,,4.3
University of Michigan - Ann Arbor,2005,62,90,13,,75,,,,4.5
Tufts University (MA),2005,27,74,30,,73,,,,3.6
U. of North Carolina - Chapel Hill,2005,36,74,24,,73,,,,4.2
Wake Forest University (NC),2005,47,65,33,,73,,,,3.5
Univ. of Southern California,2005,27,84,36,,71,,,,3.9
College of William and Mary (VA),2005,35,81,25,,68,,,,3.8
Lehigh University (PA),2005,38,68,41,,67,,,,3.2
Univ. of California - San Diego,2005,42,99,11,,67,,,,3.9
Brandeis University (MA),2005,40,71,33,,66,,,,3.5
University of Rochester (NY),2005,48,76,20,,66,,,,3.4
Univ. of Wisconsin-Madison,2005,66,58,14,,66,,,,4.2
Case Western Reserve Univ. (OH),2005,71,68,23,,65,,,,3.5
Georgia Institute of Technology,2005,70,66,32,,65,,,,4
New York University,2005,35,63,11,,65,,,,3.8
Boston College,2005,32,74,25,,64,,,,3.5
University of California - Irvine,2005,53,96,8,,64,,,,3.7
U. of Illinois - Urbana-Champaign,2005,68,50,10,,63,,,,4
Rensselaer Polytechnic Inst. (NY),2005,75,63,20,,61,,,,3.6
Tulane University (LA),2005,45,65,24,,61,,,,3.5
Univ. of California - Santa Barbara,2005,53,96,15,,60,,,,3.6
University of Washington,2005,68,66,16,,60,,,,3.9
Yeshiva University (NY),2005,83,22,19,,60,,,,2.9
Pennsylvania State U. - University Park ,2005,58,41,20,,59,,,,3.8
University of California - Davis,2005,55,95,11,,59,,,,3.8
Syracuse University (NY),2005,59,44,20,,58,,,,3.4
University of Florida,2005,53,81,19,,58,,,,3.5
University of Texas - Austin,2005,51,66,10,,57,,,,4
George Washington U. (DC),2005,38,59,16,,56,,,,3.4
Worcester Poly. Inst.,2005,75,55,22,,56,,,,2.8
Pepperdine University,2005,27,42,18,,55,,,,3.1
U. of Maryland - College Park,2005,52,53,15,,55,,,,3.7
University of Miami,2005,42,62,16,,55,,,,3.2
University of Georgia,2005,62,50,18,,54,,,,3.4
University of Pittsburgh,2005,49,46,16,,54,,,,3.4
Boston University,2005,55,,,,53,,,,3.3
Ohio State Univ. - Columbus,2005,76,34,15,,53,,,,3.6
Purdue U. - West Lafayette,2005,80,27,18,,53,,,,3.8
Rutgers-New Brunswick,2005,61,39,16,,53,,,,3.3
Texas A&M U. -College Station,2005,72,49,20,,53,,,,3.5
University of Iowa,2005,83,22,15,,53,,,,3.6
Miami University - Oxford,2005,71,37,17,,52,,,,3.3
University of Delaware,2005,45,38,25,,52,,,,3.2
Fordham University,2005,,34,16,,51,,,,3.1
Univ. of Calif. - Santa Cruz,2005,70,96,17,,51,,,,3.2
University of Connecticut,2005,50,35,24,,51,,,,3.2
Brigham Young U.-Provo,2005,76,48,21,,50,,,,3
Southern Methodist Univ.,2005,64,36,14,,50,,,,3.1
Stevens Inst. Of Tech.,2005,49,54,31,,50,,,,2.6
Indiana Univ. -Bloomington,2005,83,23,15,,49,,,,3.7
Michigan State University,2005,79,24,16,,49,,,,3.5
SUNY-Binghamton,2005,,40,13,,49,,,,3.1
U. of Minnesota-Twin Cities,2005,74,31,11,,49,,,,3.7
Baylor University,2005,73,39,24,,48,,,,3.2
Clemson University,2005,69,38,23,,48,,,,3.1
North Carolina State U.-Raleigh,2005,59,43,32,,48,,,,3.1
St. Louis University,2005,80,30,14,,48,,,,2.9
Univ. of Colorado-Boulder,2005,85,25,10,,48,,,,3.4
Virginia Tech,2005,71,36,18,,48,,,,3.4
Clark University,2005,62,31,24,,47,,,,2.9
American University,2005,,44,17,,46,,,,2.9
Auburn University,2005,84,35,21,,46,,,,3
Iowa State University,2005,90,24,16,,46,,,,3.3
Marquette University,2005,67,33,20,,46,,,,2.9
Univ. of California-Riverside,2005,79,94,5,,46,,,,3.1
University of Denver,2005,87,33,14,,46,,,,2.7
Univ. of Missouri-Columbia,2005,89,29,9,,46,,,,3.3
University of Tennessee,2005,44,29,11,,46,,,,3.1
Howard University,2005,,23,23,,45,,,,2.9
SUNY Col. Envir. Sci. & Forestry,2005,64,20,26,,45,,,,2.7
University of Tulsa,2005,74,56,20,,45,,,,2.5
University of Vermont,2005,76,23,17,,45,,,,3
Illinois Institute of Technology,2005,61,37,12,,44,,,,2.9
SUNY-Stony Brook,2005,49,33,7,,44,,,,3.2
Texas Christian University,2005,64,32,28,,44,,,,2.7
University of Arizona,2005,83,36,9,,44,,,,3.6
University of Kansas,2005,69,28,21,,44,,,,3.3
Univ. of Nebraska-Lincoln,2005,74,28,22,,44,,,,3.1
University of New Hampshire,2005,68,22,15,,44,,,,2.8
University of Alabama,2005,77,24,21,,43,,,,3
University of Dayton,2005,80,22,24,,43,,,,2.5
Univ. of Mass. -Amherst,2005,81,15,14,,43,,,,3.2
University of San Diego,2005,66,34,12,,43,,,,2.8
University of the Pacific,2005,64,37,12,,43,,,,2.5
Drexel University,2005,73,34,18,,42,,,,2.9
Florida State University,2005,65,55,17,,42,,,,3
Ohio University,2005,86,17,10,,42,,,,3
University of Missouri-Rolla,2005,93,41,21,,42,,,,2.7
University of Oklahoma,2005,82,36,21,,42,,,,3
U. of South Carolina -Columbia,2005,67,25,22,,42,,,,3
Arizona State U.,2006,91,27,10,,,,,,3.3
Ball State U.,2006,80,14,14,,,,,,2.6
Bowling Green State U.,2006,90,14,14,,,,,,2.6
East Carolina U.,2006,74,14,5,,,,,,2.3
Florida Inst. Of Tech,2006,83,32,12,,,,,,2.4
Louisiana State U.-Baton Rouge,2006,73,25,11,,,,,,2.9
Mississippi State U.,2006,69,26,14,,,,,,2.5
Oklahoma State U.,2006,88,27,19,,,,,,2.7
Oregon State U.,2006,89,18,16,,,,,,3
Rutgers-Newark,2006,47,35,12,,,,,,3
Temple U.,2006,63,19,10,,,,,,2.9
Texas Tech U.,2006,71,22,20,,,,,,2.8
U. of Alabama-Birmingham,2006,88,23,8,,,,,,2.9
U. of Arkansas,2006,87,32,21,,,,,,2.9
U. of Cincinnati,2006,76,19,8,,,,,,2.8
U. of Louisville,2006,79,22,10,,,,,,2.6
U. of Mississippi,2006,73,,16,,,,,,2.7
U. of Nevada-Reno,2006,86,,12,,,,,,2.6
U. of New Mexico,2006,74,21,10,,,,,,2.9
U. of South Florida,2006,58,23,6,,,,,,2.6
U. of Wyoming,2006,95,20,13,,,,,,2.7
Utah State U.,2006,94,25,11,,,,,,2.7
Western Michigan U.,2006,85,13,9,,,,,,2.5
West Virginia U.,2006,92,18,8,,,,,,2.8
Central Michigan U.,2006,75,15,12,,,,,,2.2
Florida Atlantic U.,2006,55,14,2,,,,,,2.3
Florida Int. U.,2006,47,,4,,,,,,2.3
Kent State U.,2006,94,13,6,,,,,,2.6
Louisiana Tech U.,2006,83,21,23,,,,,,2.3
Middle Tennessee State U.,2006,85,13,6,,,,,,2.1
New Mexico State U.,2006,81,20,7,,,,,,2.5
Northern Illinois U.,2006,66,9,8,,,,,,2.4
San Diego State U.,2006,44,,4,,,,,,2.8
U. of Akron,2006,82,12,12,,,,,,2.2
U. of Central Florida,2006,62,35,11,,,,,,2.5
U. of Houston,2006,80,21,6,,,,,,2.7
U. of Memphis,2006,71,18,5,,,,,,2.4
U. of North Texas,2006,69,19,5,,,,,,2.4
U. of Southern Mississippi,2006,61,19,11,,,,,,2.2
U. of Texas-El Paso,2006,99,17,7,,,,,,2.4
U. of Toledo,2006,80,16,8,,,,,,2.3
Princeton University(NJ),2006,,,,,100,,,,4.9
Harvard University(MA),2006,,,,,99,,,,4.9
Yale University(CT),2006,,,,,98,,,,4.9
California Institute of Technology,2006,,,,,94,,,,4.7
Stanford University(CA),2006,,,,,94,,,,4.9
Massachusetts Inst. of Technology,2006,,,,,94,,,,4.9
University of Pennsylvania,2006,,,,,93,,,,4.5
Duke University(NC),2006,,,,,92,,,,4.5
University of Chicago,2006,,,,,89,,,,4.7
Dartmouth College(NH),2006,,,,,89,,,,4.4
Columbia University(NY),2006,,,,,89,,,,4.6
Washington University in St. Louis,2006,,,,,87,,,,4.1
Cornell University(NY),2006,,,,,87,,,,4.6
Northwestern University(IL),2006,,,,,86,,,,4.4
Brown University(RI),2006,,,,,85,,,,4.4
Johns Hopkins University(MD),2006,,,,,84,,,,4.6
Rice University(TX),2006,,,,,81,,,,4.1
Emory University(GA),2006,,,,,80,,,,4
Vanderbilt University(TN),2006,,,,,80,,,,4.1
University of Notre Dame(IN),2006,,,,,78,,,,3.9
University of California--Berkeley,2006,,,,,77,,,,4.7
Carnegie Mellon University(PA),2006,,,,,77,,,,4.2
Georgetown University(DC),2006,,,,,76,,,,4.1
University of Michigan--Ann Arbor,2006,,,,,75,,,,4.5
University of Virginia,2006,,,,,75,,,,4.3
Univ. of California--Los Angeles,2006,,,,,74,,,,4.3
Univ. of Southern California,2006,,,,,72,,,,3.9
Tufts University(MA),2006,,,,,72,,,,3.7
U. of North Carolina--Chapel Hill,2006,,,,,72,,,,4.2
Wake Forest University(NC),2006,,,,,71,,,,3.5
Brandeis University(MA),2006,,,,,68,,,,3.6
College of William and Mary(VA),2006,,,,,68,,,,3.8
Lehigh University(PA),2006,,,,,67,,,,3.2
Boston College,2006,,,,,65,,,,3.6
New York University,2006,,,,,65,,,,3.8
University of Rochester(NY),2006,,,,,65,,,,3.4
Univ. of Wisconsin--Madison,2006,,,,,65,,,,4.2
Univ. of California--San Diego,2006,,,,,64,,,,3.8
Georgia Institute of Technology,2006,,,,,64,,,,4
Case Western Reserve Univ.(OH),2006,,,,,64,,,,3.5
U. of Illinois--Urbana - Champaign,2006,,,,,63,,,,4
Rensselaer Polytechnic Inst.(NY),2006,,,,,61,,,,3.6
University of Washington,2006,,,,,61,,,,3.9
University of California--Irvine,2006,,,,,60,,,,3.6
Tulane University(LA)   11,2006,,,,,60,,,,3.4
Yeshiva University(NY),2006,,,,,60,,,,3
University of California--Davis,2006,,,,,59,,,,3.7
Univ. of California--Santa Barbara,2006,,,,,59,,,,3.5
University of Florida,2006,,,,,59,,,,3.6
Pennsylvania State U.--University Park,2006,,,,,59,,,,3.8
University of Texas--Austin,2006,,,,,59,,,,4.1
George Washington University(DC),2006,,,,,56,,,,3.5
Syracuse University(NY),2006,,,,,56,,,,3.4
Pepperdine University(CA),2006,,,,,55,,,,3.1
University of Miami(FL),2006,,,,,55,,,,3.2
Univ. of Maryland--College Park,2006,,,,,55,,,,3.7
Boston University,2006,,,,,54,,,,3.4
Ohio State University--Columbus,2006,,,,,54,,,,3.7
University of Pittsburgh,2006,,,,,54,,,,3.5
University of Georgia,2006,,,,,53,,,,3.4
Rutgers--New Brunswick(NJ),2006,,,,,53,,,,3.4
Miami University--Oxford(OH),2006,,,,,53,,,,3.4
Texas A&M Univ.--College Station,2006,,,,,53,,,,3.6
Purdue Univ.--West Lafayette(IN),2006,,,,,52,,,,3.8
University of Iowa,2006,,,,,52,,,,3.6
Worcester Polytechnic Inst.(MA),2006,,,,,52,,,,2.8
University of Connecticut,2006,,,,,51,,,,3.2
University of Delaware,2006,,,,,51,,,,3.2
Univ. of Minnesota--Twin Cities,2006,,,,,51,,,,3.8
Indiana University--Bloomington,2006,,,,,50,,,,3.8
Michigan State University,2006,,,,,50,,,,3.5
Univ. of California--Santa Cruz,2006,,,,,49,,,,3.2
Fordham University(NY),2006,,,,,50,,,,3.1
Clemson University(SC),2006,,,,,50,,,,3.1
Southern Methodist University(TX),2006,,,,,50,,,,3.2
Brigham Young Univ.--Provo(UT),2006,,,,,50,,,,3.1
University of Colorado--Boulder,2006,,,,,48,,,,3.5
St. Louis University,2006,,,,,48,,,,3
Stevens Institute of Technology(NJ),2006,,,,,48,,,,2.7
Virginia Tech,2006,,,,,48,,,,3.4
Iowa State University,2006,,,,,47,,,,3.3
Clark University(MA),2006,,,,,47,,,,2.9
North Carolina State U.--Raleigh,2006,,,,,47,,,,3.1
Baylor University(TX),2006,,,,,47,,,,3.2
Marquette University(WI),2006,,,,,47,,,,2.9
American University(DC),2006,,,,,46,,,,2.9
SUNY--Binghamton,2006,,,,,46,,,,3
Univ. of California--Riverside,2006,,,,,45,,,,3.1
University of Denver,2006,,,,,45,,,,2.7
Howard University(DC),2006,,,,,45,,,,2.9
University of Kansas,2006,,,,,45,,,,3.3
Univ. of Missouri--Columbia,2006,,,,,45,,,,3.3
University of Tulsa(OK),2006,,,,,45,,,,2.6
University of Tennessee,2006,,,,,45,,,,3.2
University of Vermont,2006,,,,,45,,,,3.1
University of Alabama,2006,,,,,45,,,,3.1
Auburn University(AL),2006,,,,,45,,,,3.1
University of Arizona,2006,,,,,44,,,,3.6
University of the Pacific(CA),2006,,,,,44,,,,2.6
Northeastern University(MA),2006,,,,,44,,,,3.1
Univ. of Massachusetts--Amherst,2006,,,,,44,,,,3.3
Univ. of Nebraska--Lincoln,2006,,,,,44,,,,3.1
SUNY College of Environmental Science and Forestry,2006,,,,,44,,,,2.7
SUNY--Stony Brook,2006,,,,,44,,,,3.2
University of San Diego,2006,,,,,43,,,,2.8
Illinois Institute of Technology,2006,,,,,43,,,,2.8
University of New Hampshire,2006,,,,,43,,,,2.9
University of Dayton(OH),2006,,,,,43,,,,2.5
Texas Christian University,2006,,,,,43,,,,2.7
Florida State University,2006,,,,,42,,,,3.1
Ohio University,2006,,,,,42,,,,3.1
University of San Francisco,2006,,,,,41,,,,3
Loyola University Chicago,2006,,,,,41,,,,2.9
University of Kentucky,2006,,,,,41,,,,3
University of Missouri--Rolla,2006,,,,,41,,,,2.7
University of Oklahoma,2006,,,,,41,,,,3
Drexel University(PA),2006,,,,,41,,,,2.9
Univ. of South Carolina--Columbia,2006,,,,,41,,,,3
Washington State University,2006,,,,,41,,,,3
