School,Year,Total Support,Alumni,Others,Foundations,Corporations and Businesses,Total No. of Alumni of Record,No. of Alumni Solicited,No. of Alumni Donors
"University of Houston (Houston, TX) ",1992,70974977,37288737,1491260,13636555,10111326,121593,82043,8867
"University of Houston (Houston, TX) ",1993,38700967,8460684,1373708,13127849,8588122,152714,,8193
"University of Houston (Houston, TX) ",1995,27955,1606,1979,9402,7467,150441,,9504
"University of Houston (Houston, TX) ",1996,50423,2899,19513,9855,8542,156554,,9939
"University of Houston (Houston, TX) ",1997,27489,2512,3242,5982,8707,182034,,12144
"University of Houston (Houston, TX) ",1998,36066,7226,3557,11694,6389,189564,59000,8939
"University of Idaho (Moscow, ID) ",1990,,,,,,,,
"University of Idaho (Moscow, ID) ",1991,11325039,6491467,958253,370826,3292824,58134,56019,10710
"University of Idaho (Moscow, ID) ",1992,8821167,3157250,990205,753650,3382556,,,
"University of Idaho (Moscow, ID) ",1993,9251725,4377575,1698745,246950,2621951,60548,55076,11658
"University of Idaho (Moscow, ID) ",1995,9204,4010,1504,420,3021,61993,59990,10355
"University of Idaho (Moscow, ID) ",1996,10175,4898,1617,1275,2174,62289,56775,10825
"University of Idaho (Moscow, ID) ",1997,9921,2826,3685,576,2614,69468,56673,11161
"University of Idaho (Moscow, ID) ",1998,14552,4162,2478,1209,6191,71990,65629,10267
"University of Iowa (Iowa City, IA) ",1990,32250849,13107808,6020695,4215771,6820546,154662,152470,21064
"University of Iowa (Iowa City, IA) ",1991,36614234,13462460,6307884,5716929,8070238,159974,157662,19910
"University of Iowa (Iowa City, IA) ",1992,48498802,13340213,12992071,3720157,8755235,165801,163320,21530
"University of Iowa (Iowa City, IA) ",1993,43747097,14032203,6302221,4440054,6471442,167707,165171,20426
"University of Iowa (Iowa City, IA) ",1995,60088,18751,7264,5191,12520,185601,109407,21000
"University of Iowa (Iowa City, IA) ",1996,85221,20399,25283,8221,16321,192276,129416,22163
"University of Iowa (Iowa City, IA) ",1997,80828,24863,12967,8598,24285,199957,176328,22389
"University of Iowa (Iowa City, IA) ",1998,71524,20470,15133,12356,12446,204813,124332,23777
"University of Kansas (Lawrence, KS) ",1990,23669784,10202958,2697152,5199467,4827817,,,
"University of Kansas (Lawrence, KS) ",1991,29986487,12580217,5339366,5629193,5928374,,,
"University of Kansas (Lawrence, KS) ",1992,31566319,11972575,2518976,10551785,5580100,176759,146655,23251
"University of Kansas (Lawrence, KS) ",1993,33244778,13494679,4080753,8202140,6571203,189274,188020,23627
"University of Kansas (Lawrence, KS) ",1995,37931,13906,4119,12798,6214,197584,195775,26292
"University of Kansas (Lawrence, KS) ",1996,52308,23609,9351,8066,10153,215577,140000,26737
"University of Kansas (Lawrence, KS) ",1997,47040,20203,11179,9202,5089,225977,141250,25519
"University of Kansas (Lawrence, KS) ",1998,75268,23196,4743,17359,21294,228825,189181,23216
"University of Kentucky (Lexington, KY) ",1990,19600444,3855886,3233235,5597271,6906202,10400,50000,12240
"University of Kentucky (Lexington, KY) ",1991,,,,,,,,
"University of Kentucky (Lexington, KY) ",1992,28724211,4337563,3072530,11955084,7378909,,,
"University of Kentucky (Lexington, KY) ",1993,,,,,,,,
"University of Kentucky (Lexington, KY) ",1995,37043,9872,8069,7592,8881,140000,75000,23026
"University of Kentucky (Lexington, KY) ",1996,39025,7676,11682,8707,7306,144700,88000,24847
"University of Kentucky (Lexington, KY) ",1997,41383,11813,7490,10828,8151,166000,104450,20010
"University of Kentucky (Lexington, KY) ",1998,48251,14405,14001,5147,12381,179029,71935,24967
"University of Louisiana, Lafayette (Lafayette, LA) ",1990,,,,,,,,
"University of Louisiana, Lafayette (Lafayette, LA) ",1991,,,,,,,,
"University of Louisiana, Lafayette (Lafayette, LA) ",1992,,,,,,,,
"University of Louisiana, Lafayette (Lafayette, LA) ",1993,,,,,,,,
"University of Louisiana, Lafayette (Lafayette, LA) ",1995,,,,,,,,
"University of Louisiana, Lafayette (Lafayette, LA) ",1996,,,,,,,,
"University of Louisiana, Lafayette (Lafayette, LA) ",1997,,,,,,,,
"University of Louisiana, Lafayette (Lafayette, LA) ",1998,,,,,,,,
"University of Louisiana, Monroe (Monroe, LA) ",1990,,,,,,,,
"University of Louisiana, Monroe (Monroe, LA) ",1991,,,,,,,,
"University of Louisiana, Monroe (Monroe, LA) ",1992,,,,,,,,
"University of Louisiana, Monroe (Monroe, LA) ",1993,,,,,,,,
"University of Louisiana, Monroe (Monroe, LA) ",1995,,,,,,,,
"University of Louisiana, Monroe (Monroe, LA) ",1996,,,,,,,,
"University of Louisiana, Monroe (Monroe, LA) ",1997,,,,,,,,
"University of Louisiana, Monroe (Monroe, LA) ",1998,,,,,,,,
"University of Louisville (Louisville, KY) ",1990,10432666,4184445,2633706,852275,2211551,61045,60419,9612
"University of Louisville (Louisville, KY) ",1991,11163738,2274664,3381781,979659,2510378,62445,60284,11159
"University of Louisville (Louisville, KY) ",1992,10497174,2845767,2578249,947906,3098903,64312,63389,14835
"University of Louisville (Louisville, KY) ",1993,20871042,3504895,4809115,861720,10584810,67838,67146,14420
"University of Louisville (Louisville, KY) ",1995,21594,9394,3553,870,6698,71318,67168,13834
"University of Louisville (Louisville, KY) ",1996,25052,5598,7218,2596,8592,76392,58604,12647
"University of Louisville (Louisville, KY) ",1997,46352,8289,12402,4607,17050,78935,52750,13582
"University of Louisville (Louisville, KY) ",1998,34476,8873,7983,2413,13014,77372,66990,13762
"University of Maryland College Park (College Park, MD) ",1990,27318739,4643534,5433101,5198992,9575125,254905,175000,18000
"University of Maryland College Park (College Park, MD) ",1991,24420720,3348795,3396303,5883831,8689948,278372,0,17835
"University of Maryland College Park (College Park, MD) ",1992,27494360,3660028,5305277,4960229,7385143,284000,,23021
"University of Maryland College Park (College Park, MD) ",1993,19403544,6918946,1539575,3478861,4221755,144536,65885,10341
"University of Maryland College Park (College Park, MD) ",1995,36609,12703,4773,7696,8388,161841,62026,9779
"University of Maryland College Park (College Park, MD) ",1996,34589,8837,3388,10385,9432,171032,74669,12439
"University of Maryland College Park (College Park, MD) ",1997,38057,5797,6236,10267,14009,169238,52972,9090
"University of Maryland College Park (College Park, MD) ",1998,63370,11515,15589,13676,19456,176259,80000,11313
"University of Memphis (Memphis, TN) ",1990,,,,,,,,
"University of Memphis (Memphis, TN) ",1991,,,,,,,,
"University of Memphis (Memphis, TN) ",1992,,,,,,,,
"University of Memphis (Memphis, TN) ",1993,,,,,,,,
"University of Memphis (Memphis, TN) ",1995,6884,1214,1303,1399,2586,59265,36975,8100
"University of Memphis (Memphis, TN) ",1996,8076,1263,2354,1676,2561,67121,40273,5772
"University of Memphis (Memphis, TN) ",1997,4247,610,1763,654,955,76600,44906,5227
"University of Memphis (Memphis, TN) ",1998,,,,,,,,
"University of Miami (Coral Gables, FL) ",1990,65891146,5177037,24376213,12036605,17447356,74862,73003,12250
"University of Miami (Coral Gables, FL) ",1991,50242418,3272672,17238826,14473155,9372871,79653,75061,12867
"University of Miami (Coral Gables, FL) ",1992,52623157,5215085,21275856,11895703,8969605,80449,74557,13572
"University of Miami (Coral Gables, FL) ",1993,55505892,4121148,27271798,9343343,9517473,82260,74504,14180
"University of Miami (Coral Gables, FL) ",1995,67841,8502,26761,16432,8408,84010,73037,14656
"University of Miami (Coral Gables, FL) ",1996,70902,7249,35072,10966,12239,90377,72032,14620
"University of Miami (Coral Gables, FL) ",1997,78264,5001,35060,16917,12271,96800,77325,17995
"University of Miami (Coral Gables, FL) ",1998,80259,10016,28932,18365,8389,92698,76757,16575
"University of Michigan (Ann Arbor, MI) ",1990,83608567,32429727,15450462,13220623,15295245,293647,282914,61230
"University of Michigan (Ann Arbor, MI) ",1991,94789039,27780503,21760102,17985032,18389681,303390,290120,58695
"University of Michigan (Ann Arbor, MI) ",1992,84824998,26572416,17575936,16276660,14508192,315400,303390,67931
"University of Michigan (Ann Arbor, MI) ",1993,98023966,31835180,21796869,13137262,20291606,322848,315400,67745
"University of Michigan (Ann Arbor, MI) ",1995,145758,66107,23483,22684,23038,332796,327490,60154
"University of Michigan (Ann Arbor, MI) ",1996,121613,47608,16785,19069,27499,363077,357673,60830
"University of Michigan (Ann Arbor, MI) ",1997,157948,61924,27443,26539,29837,364594,359007,60165
"University of Michigan (Ann Arbor, MI) ",1998,179524,76141,26446,28758,34977,412699,373196,60287
"University of Minnesota (Minneapolis, MN) ",1990,105298301,10256695,25447829,20776165,38139780,238197,,35999
"University of Minnesota (Minneapolis, MN) ",1991,109131731,10227987,31704345,23388328,38654040,331230,92892,36907
"University of Minnesota (Minneapolis, MN) ",1992,127177219,8871916,53455783,23730390,38501694,320267,130449,37297
"University of Minnesota (Minneapolis, MN) ",1993,121809613,9115208,34038568,28475399,47355990,,0,38344
"University of Minnesota (Minneapolis, MN) ",1995,131639,23526,23735,19005,54027,357570,87150,32433
"University of Minnesota (Minneapolis, MN) ",1996,140538,20192,30595,24647,55792,390462,165000,31168
"University of Minnesota (Minneapolis, MN) ",1997,136002,21010,24571,26113,53666,281497,225000,38102
"University of Minnesota (Minneapolis, MN) ",1998,153959,31845,24932,32687,49239,318205,254000,27974
"University of Mississippi (University, MS) ",1990,15443672,3928802,2387468,3156859,3259849,77000,60000,7774
"University of Mississippi (University, MS) ",1991,10715868,3719761,593569,3404778,2163184,65000,64500,7696
"University of Mississippi (University, MS) ",1992,12530452,4062311,1274752,4229036,2133080,65000,64000,7725
"University of Mississippi (University, MS) ",1993,14113124,4813301,1686599,4523606,2252228,66000,62000,6300
"University of Mississippi (University, MS) ",1995,17800,7961,1066,3790,2870,64500,64500,12212
"University of Mississippi (University, MS) ",1996,25342,14649,1494,3905,2677,67700,,11584
"University of Mississippi (University, MS) ",1997,39988,10227,2701,21499,3512,69922,69922,13469
"University of Mississippi (University, MS) ",1998,24874,10322,3458,6901,2718,68000,68000,13764
"University of Missouri-Columbia (Columbia, MO) ",1990,45724466,6816696,6676531,12322579,14503886,239973,182040,48844
"University of Missouri-Columbia (Columbia, MO) ",1991,20733109,5628135,4145802,2358811,6401098,136947,115000,25701
"University of Missouri-Columbia (Columbia, MO) ",1992,27004410,8302225,2564164,5249287,8346508,141091,141091,25696
"University of Missouri-Columbia (Columbia, MO) ",1993,25428042,7172412,5654620,2578836,7273752,171414,143467,25134
"University of Missouri-Columbia (Columbia, MO) ",1995,25577,6049,5406,3707,6448,147934,32740,25606
"University of Missouri-Columbia (Columbia, MO) ",1996,30271,6906,10325,3690,6593,150837,45832,24868
"University of Missouri-Columbia (Columbia, MO) ",1997,39702,11439,10429,6786,9154,152704,49985,26178
"University of Missouri-Columbia (Columbia, MO) ",1998,48441,16522,8800,8600,8685,154634,39233,22013
"University of Nebraska (Lincoln, NE) ",1990,37791677,11433072,6065002,7458721,9287325,146940,146940,23932
"University of Nebraska (Lincoln, NE) ",1991,39911642,15473452,6539156,4445966,9854673,155000,147000,22640
"University of Nebraska (Lincoln, NE) ",1992,36129099,10089043,8673300,4781040,9114753,140000,130000,21000
"University of Nebraska (Lincoln, NE) ",1993,38596644,10492624,6046372,9483225,9896504,175250,165250,26196
"University of Nebraska (Lincoln, NE) ",1995,48852,12903,8192,5171,13191,184800,174200,2892
"University of Nebraska (Lincoln, NE) ",1996,62452,16607,19595,11739,10718,0,0,0
"University of Nebraska (Lincoln, NE) ",1997,88197,47209,9412,4871,22480,,,
"University of Nebraska (Lincoln, NE) ",1998,77987,17207,21016,18448,16732,,,
"University of Nevada, Las Vegas (Las Vegas, NV) ",1990,,,,,,,,
"University of Nevada, Las Vegas (Las Vegas, NV) ",1991,,,,,,,,
"University of Nevada, Las Vegas (Las Vegas, NV) ",1992,,,,,,,,
"University of Nevada, Las Vegas (Las Vegas, NV) ",1993,,,,,,,,
"University of Nevada, Las Vegas (Las Vegas, NV) ",1995,,,,,,,,
"University of Nevada, Las Vegas (Las Vegas, NV) ",1996,25036,262,13659,3956,7122,25348,25348,2448
"University of Nevada, Las Vegas (Las Vegas, NV) ",1997,,,,,,,,
"University of Nevada, Las Vegas (Las Vegas, NV) ",1998,,,,,,,,
"University of Nevada, Reno (Reno, NV) ",1990,,,,,,,,
"University of Nevada, Reno (Reno, NV) ",1991,,,,,,,,
"University of Nevada, Reno (Reno, NV) ",1992,,,,,,,,
"University of Nevada, Reno (Reno, NV) ",1993,17492284,1563704,11490098,1162409,3270421,25414,25414,3749
"University of Nevada, Reno (Reno, NV) ",1995,16974,1041,2733,2649,1147,29835,29835,4365
"University of Nevada, Reno (Reno, NV) ",1996,21352,1188,1998,11977,4609,30948,30948,4827
"University of Nevada, Reno (Reno, NV) ",1997,28063,1795,3584,3133,2534,32551,32551,5257
"University of Nevada, Reno (Reno, NV) ",1998,34154,2519,7353,14352,5901,48506,48506,6554
"University of New Mexico (Albuquerque, NM) ",1990,13681153,2909750,2576050,1942284,2821783,81000,62000,8312
"University of New Mexico (Albuquerque, NM) ",1991,14347450,2394467,2898712,652050,6004075,73022,73022,7719
"University of New Mexico (Albuquerque, NM) ",1992,15876352,3900276,1505726,1962810,3687962,74609,47994,8150
"University of New Mexico (Albuquerque, NM) ",1993,16145171,1879553,3053725,3379537,3975996,75900,74571,7549
"University of New Mexico (Albuquerque, NM) ",1995,14882,2013,3651,1222,4073,83825,48915,4294
"University of New Mexico (Albuquerque, NM) ",1996,14166,2708,1846,2039,3980,86566,58066,7384
"University of New Mexico (Albuquerque, NM) ",1997,24867,3265,4108,4668,8170,90099,71837,7541
"University of New Mexico (Albuquerque, NM) ",1998,27479,6225,5953,4343,6647,94693,72507,7338
"University of North Texas (Denton, TX) ",1990,5665533,736836,1582022,1334365,1548427,80684,80684,10108
"University of North Texas (Denton, TX) ",1991,5766083,1152949,1316551,1331178,1785351,83267,82795,5689
"University of North Texas (Denton, TX) ",1992,3986666,653622,599534,986437,1537334,86636,86636,5229
"University of North Texas (Denton, TX) ",1993,4439452,699010,557996,984954,1878870,90979,90979,5694
"University of North Texas (Denton, TX) ",1995,6373,1950,1483,1054,1466,95000,95000,6156
"University of North Texas (Denton, TX) ",1996,5080,2566,516,693,1126,100602,94052,6389
"University of North Texas (Denton, TX) ",1997,5735,2112,852,1359,1224,119854,112144,4990
"University of North Texas (Denton, TX) ",1998,7194,2123,1357,2198,1298,134751,134751,7084
"University of Notre Dame (Notre Dame, IN) ",1990,53781368,24712647,4242405,8403292,10097909,79359,73903,37529
"University of Notre Dame (Notre Dame, IN) ",1991,46432060,19357029,2062537,9533558,9632951,81514,76000,37845
"University of Notre Dame (Notre Dame, IN) ",1992,47224047,16809382,2600468,11872789,10147273,83889,76285,38691
"University of Notre Dame (Notre Dame, IN) ",1993,60942238,30153146,3718468,9769664,8938834,83889,76285,38759
"University of Notre Dame (Notre Dame, IN) ",1995,70215,27861,9108,5977,18142,87607,79958,38801
"University of Notre Dame (Notre Dame, IN) ",1996,75600,29963,8820,10115,16330,89141,81595,39957
"University of Notre Dame (Notre Dame, IN) ",1997,95203,47258,7981,13205,17196,90620,83063,41032
"University of Notre Dame (Notre Dame, IN) ",1998,132735,51875,14066,15210,25562,92894,85298,40390
"University of Oklahoma (Norman, OK) ",1990,23967341,7844637,1770790,6437627,6906517,106436,103707,11757
"University of Oklahoma (Norman, OK) ",1991,27459893,7693398,2102979,7872414,8717521,106460,103388,12264
"University of Oklahoma (Norman, OK) ",1992,32025807,7488658,2031547,10806515,5985603,,,
"University of Oklahoma (Norman, OK) ",1993,29506202,8272104,2595622,7660951,6577785,111285,108318,13137
"University of Oklahoma (Norman, OK) ",1995,,,,,,,,
"University of Oklahoma (Norman, OK) ",1996,,,,,,,,
"University of Oklahoma (Norman, OK) ",1997,43587,15618,4934,12808,8206,117570,83910,18998
"University of Oklahoma (Norman, OK) ",1998,61294,27628,4411,16117,11374,140617,84492,19866
"University of Oregon (Eugene, OR) ",1990,13589339,5711101,2321603,3393324,1977942,95624,93508,14020
"University of Oregon (Eugene, OR) ",1991,14577193,4147006,5431254,2812944,1811995,105231,104090,13752
"University of Oregon (Eugene, OR) ",1992,18151332,5545221,4252274,2166413,4984109,103604,102451,14223
"University of Oregon (Eugene, OR) ",1993,,,,,,,,
"University of Oregon (Eugene, OR) ",1995,22823,6870,4650,4111,2714,113207,79936,16176
"University of Oregon (Eugene, OR) ",1996,35763,20980,7503,2378,3181,130321,91803,16283
"University of Oregon (Eugene, OR) ",1997,32458,11173,9987,3710,5958,124620,85397,16023
"University of Oregon (Eugene, OR) ",1998,44381,20672,16003,3139,3333,125757,96524,14172
"University of Pittsburgh (Pittsburgh, PA) ",1990,36557311,6135631,4144789,15415052,7228705,167765,134769,28167
"University of Pittsburgh (Pittsburgh, PA) ",1991,38747779,5510124,5471683,14735485,6659845,175288,144457,26559
"University of Pittsburgh (Pittsburgh, PA) ",1992,,,,,,,,
"University of Pittsburgh (Pittsburgh, PA) ",1993,33159922,6276099,2567320,16324260,4474586,155493,155493,22151
"University of Pittsburgh (Pittsburgh, PA) ",1995,39392,7130,3552,12417,6052,164500,164500,26405
"University of Pittsburgh (Pittsburgh, PA) ",1996,41642,5488,4227,19328,5587,169300,89300,21762
"University of Pittsburgh (Pittsburgh, PA) ",1997,54960,8363,3397,14466,5071,173830,90622,21641
"University of Pittsburgh (Pittsburgh, PA) ",1998,59457,12742,6272,24227,9045,225770,127413,23727
"University of South Florida (Tampa, FL) ",1990,,,,,,,,
"University of South Florida (Tampa, FL) ",1991,,,,,,,,
"University of South Florida (Tampa, FL) ",1992,18520728,585276,5319062,571675,3485401,98000,73000,5000
"University of South Florida (Tampa, FL) ",1993,,,,,,,,
"University of South Florida (Tampa, FL) ",1995,17738,691,6909,2304,3203,96593,96593,8226
"University of South Florida (Tampa, FL) ",1996,29714,640,5642,401,12301,108080,60000,9887
"University of South Florida (Tampa, FL) ",1997,30226,802,9122,1541,8993,94676,60000,9998
"University of South Florida (Tampa, FL) ",1998,29915,936,13336,3757,3173,120179,80000,6657
"University of Southern California (Los Angeles, CA) ",1990,126136395,22586980,39136521,17968477,37164246,200203,,22083
"University of Southern California (Los Angeles, CA) ",1991,94303629,13111040,30954674,19621260,21403595,205766,,21986
"University of Southern California (Los Angeles, CA) ",1992,105482167,14198099,30072112,23856341,28989642,158754,101984,19889
"University of Southern California (Los Angeles, CA) ",1993,109994707,20875246,33630383,24175826,24526397,161297,103984,23363
"University of Southern California (Los Angeles, CA) ",1995,138366,21630,50828,17062,37268,165388,144082,27470
"University of Southern California (Los Angeles, CA) ",1996,128566,24776,38413,20284,36127,166992,145483,33361
"University of Southern California (Los Angeles, CA) ",1997,154171,42634,37538,22190,35533,166440,147239,32283
"University of Southern California (Los Angeles, CA) ",1998,175603,49258,45596,30404,31877,168321,148965,34288
"University of Southern Mississippi (Hattiesburg, MS) ",1990,,,,,,,,
"University of Southern Mississippi (Hattiesburg, MS) ",1991,,,,,,,,
"University of Southern Mississippi (Hattiesburg, MS) ",1992,,,,,,,,
"University of Southern Mississippi (Hattiesburg, MS) ",1993,,,,,,,,
"University of Southern Mississippi (Hattiesburg, MS) ",1995,,,,,,,,
"University of Southern Mississippi (Hattiesburg, MS) ",1996,,,,,,,,
"University of Southern Mississippi (Hattiesburg, MS) ",1997,,,,,,,,
"University of Southern Mississippi (Hattiesburg, MS) ",1998,,,,,,,,
"University of Tennessee (Knoxville, TN) ",1990,33527487,8089716,6035855,3579415,9821958,196042,152347,46894
"University of Tennessee (Knoxville, TN) ",1991,32002043,11151332,6557530,2840180,9126292,205253,164107,47949
"University of Tennessee (Knoxville, TN) ",1992,34853214,9414213,10405500,3388447,9406588,213453,164107,47222
"University of Tennessee (Knoxville, TN) ",1993,34972429,12318251,8169633,3525862,8903366,221548,170184,46594
"University of Tennessee (Knoxville, TN) ",1995,46026,15195,9253,3989,14874,246322,212991,49699
"University of Tennessee (Knoxville, TN) ",1996,55838,14974,13031,4280,16169,224848,220912,32278
"University of Tennessee (Knoxville, TN) ",1997,63104,18644,14030,5685,12448,264437,228689,51365
"University of Tennessee (Knoxville, TN) ",1998,38256,10324,7609,683,13364,170212,120711,15237
"University of Toledo (Toledo, OH) ",1990,6443315,1484796,2579289,491841,1783731,56312,56312,6389
"University of Toledo (Toledo, OH) ",1991,3335892,974201,814606,241835,1101422,70423,56055,4845
"University of Toledo (Toledo, OH) ",1992,4059384,1940198,455104,50479,1082875,76160,59700,5862
"University of Toledo (Toledo, OH) ",1993,4460025,1137532,1854144,348404,1044892,60294,60294,6007
"University of Toledo (Toledo, OH) ",1995,7473,4689,1082,419,1101,64953,64953,5795
"University of Toledo (Toledo, OH) ",1996,6534,1871,2487,587,1457,69665,68404,6952
"University of Toledo (Toledo, OH) ",1997,9906,4462,2912,556,1757,78960,77558,7603
"University of Toledo (Toledo, OH) ",1998,8257,3036,1902,751,2329,80136,77810,7897
"University of Tulsa (Tulsa, OK) ",1990,6523754,1465812,1245645,2148626,1428644,26500,26500,3308
"University of Tulsa (Tulsa, OK) ",1991,4196341,485375,711536,1702108,1061151,29000,25000,4365
"University of Tulsa (Tulsa, OK) ",1992,5394404,872360,737159,1139065,1054993,28929,28929,4442
"University of Tulsa (Tulsa, OK) ",1993,4089910,609893,563486,1584009,813160,28209,28209,12899
"University of Tulsa (Tulsa, OK) ",1995,6418,1169,1251,2383,1323,30880,30085,3030
"University of Tulsa (Tulsa, OK) ",1996,15651,1148,2579,5133,3363,30085,29899,3262
"University of Tulsa (Tulsa, OK) ",1997,20154,2854,4916,4044,3833,30888,30393,4046
"University of Tulsa (Tulsa, OK) ",1998,34993,7785,9213,13086,4792,32909,32210,4854
"University of Utah (Salt Lake City, UT) ",1990,46540025,7629229,8811951,3427241,25230753,178216,83861,7460
"University of Utah (Salt Lake City, UT) ",1991,46461301,7965319,9867778,3634038,23608375,163348,84777,8180
"University of Utah (Salt Lake City, UT) ",1992,46229804,6423811,15036591,2136831,21070249,166651,87971,10219
"University of Utah (Salt Lake City, UT) ",1993,,,,,,,,
"University of Utah (Salt Lake City, UT) ",1995,63654,8627,11043,10050,32831,175224,96833,10412
"University of Utah (Salt Lake City, UT) ",1996,,,,,,,,
"University of Utah (Salt Lake City, UT) ",1997,90937,13685,16949,26414,32137,180537,105898,11273
"University of Utah (Salt Lake City, UT) ",1998,104116,21387,11238,32383,31464,210556,102621,14151
"University of Virginia (Charlottesville, VA) ",1990,51348520,14751531,10436302,11900140,6440206,107038,85777,37339
"University of Virginia (Charlottesville, VA) ",1991,54042729,14546434,7292364,17268772,8223234,108099,88642,33951
"University of Virginia (Charlottesville, VA) ",1992,51484047,14909685,6622799,14255591,8072899,113172,92445,32675
"University of Virginia (Charlottesville, VA) ",1993,68316266,17636541,10300235,21802290,12484313,136216,92445,31176
"University of Virginia (Charlottesville, VA) ",1995,78501,22942,20773,13486,12873,127257,101624,29534
"University of Virginia (Charlottesville, VA) ",1996,104359,44540,16422,14562,15143,128000,105000,33436
"University of Virginia (Charlottesville, VA) ",1997,109346,28687,33648,20694,15572,131281,131281,32127
"University of Virginia (Charlottesville, VA) ",1998,129589,38470,39823,18960,21063,140591,136091,34716
"University of Washington (Seattle, WA) ",1990,89426938,12805072,11860225,24057349,31696958,166004,,24449
"University of Washington (Seattle, WA) ",1991,102831966,11921968,22917591,19474630,37464966,170635,,20533
"University of Washington (Seattle, WA) ",1992,103796111,10641649,26566372,16198939,35929916,178145,,21228
"University of Washington (Seattle, WA) ",1993,100607347,11336723,13968963,17997390,39513708,181845,42292,20923
"University of Washington (Seattle, WA) ",1995,127774,21562,12943,21546,48637,,,21126
"University of Washington (Seattle, WA) ",1996,154601,17460,35677,27986,43124,217835,135274,19548
"University of Washington (Seattle, WA) ",1997,150000,23170,20885,24474,58273,225564,217226,21557
"University of Washington (Seattle, WA) ",1998,170271,22860,21020,28174,69278,237729,221582,27086
"University of Wisconsin-Madison (Madison, WI) ",1990,124399972,14511617,13356801,31113094,44634217,232316,165800,41317
"University of Wisconsin-Madison (Madison, WI) ",1991,128394787,17262461,24475322,30192823,34700466,243730,175000,48978
"University of Wisconsin-Madison (Madison, WI) ",1992,141188340,19583049,16547382,33404204,49530606,252071,252071,42130
"University of Wisconsin-Madison (Madison, WI) ",1993,,,,,,,,
"University of Wisconsin-Madison (Madison, WI) ",1995,164349,28560,15534,31477,27717,267900,265000,42151
"University of Wisconsin-Madison (Madison, WI) ",1996,186695,36429,15360,39289,29829,270000,270000,39901
"University of Wisconsin-Madison (Madison, WI) ",1997,212550,52591,16814,62299,20896,278221,278221,38942
"University of Wisconsin-Madison (Madison, WI) ",1998,230357,46081,19850,93090,30541,281192,281192,36889
"University of Wyoming Foundation (Laramie, WY) ",1990,3750531,1323120,1139647,135582,1114563,49925,49925,5686
"University of Wyoming Foundation (Laramie, WY) ",1991,7271577,1111073,4674556,397701,1027687,67071,67071,6296
"University of Wyoming Foundation (Laramie, WY) ",1992,5463524,1224013,2653288,318043,1196556,52918,52918,7502
"University of Wyoming Foundation (Laramie, WY) ",1993,6834904,3514790,1508603,770074,986127,54747,54747,7744
"University of Wyoming Foundation (Laramie, WY) ",1995,5098,2314,1483,169,1108,56775,56775,9133
"University of Wyoming Foundation (Laramie, WY) ",1996,9549,5698,1814,545,1191,58300,,8895
"University of Wyoming Foundation (Laramie, WY) ",1997,6182,1995,2154,439,1210,70782,70782,9205
"University of Wyoming Foundation (Laramie, WY) ",1998,15722,3595,5223,4687,2059,72699,72699,10283
"Utah State University (Logan, UT) ",1990,3809503,866923,1102486,938098,861152,64385,51278,6046
"Utah State University (Logan, UT) ",1991,5640373,1623762,629831,934832,2420396,66025,21066,6578
"Utah State University (Logan, UT) ",1992,5462899,1510412,802351,1188308,1896282,61262,47303,5945
"Utah State University (Logan, UT) ",1993,6241461,1668768,1197410,1512993,1784987,62339,54823,6654
"Utah State University (Logan, UT) ",1995,5630,1724,1071,1418,1316,70767,70767,5562
"Utah State University (Logan, UT) ",1996,9338,1911,1138,2586,1548,73847,35191,5217
"Utah State University (Logan, UT) ",1997,8979,3222,1937,1976,1542,79169,,6436
"Utah State University (Logan, UT) ",1998,17396,2749,1204,2131,11176,87209,62161,7431
"Vanderbilt University (Nashville, TN) ",1990,43320498,12921403,6396345,5383080,13488085,80422,76481,20358
"Vanderbilt University (Nashville, TN) ",1991,50477944,13086798,7872181,7864038,15983951,82564,76393,21128
"Vanderbilt University (Nashville, TN) ",1992,59117692,19527996,5621491,9252542,19281478,82948,78492,21463
"Vanderbilt University (Nashville, TN) ",1993,59428661,12312512,12735498,9292732,19274126,82948,79669,21402
"Vanderbilt University (Nashville, TN) ",1995,82462,16546,25950,12502,20262,86146,82807,23065
"Vanderbilt University (Nashville, TN) ",1996,62213,14149,7387,15871,18570,88091,84508,23187
"Vanderbilt University (Nashville, TN) ",1997,78084,22882,9175,16194,22983,90291,85166,23630
"Vanderbilt University (Nashville, TN) ",1998,72303,18107,7967,13558,24254,90826,85691,23137
"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) ",1990,41221932,4186540,10420388,1389169,25182505,101643,101643,24500
"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) ",1991,25833484,7891833,3923280,1910070,10112551,105600,105600,26616
"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) ",1992,25632692,6228517,4015602,2650504,9444611,107320,107320,20989
"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) ",1993,32434280,10199809,3255150,1702587,14469242,108676,108676,22315
"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) ",1995,41993,16929,6230,2296,14667,132540,132540,23311
"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) ",1996,,,,,,,,
"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) ",1997,,,,,,,,
"Virginia Polytechnic Inst & St Univ (Blacksburg, VA) ",1998,48491,20562,10123,3207,11851,,,26791
