School,Year,Total Support,Alumni,Others,Foundations,Corporations and Businesses,Total No. of Alumni of Record,No. of Alumni Solicited,No. of Alumni Donors
"East Carolina University (Greenville, NC) ",1992,7346679,1726175,1808178,1954655,1541434,62702,38500,10473
"East Carolina University (Greenville, NC) ",1993,,,,,,,,
"East Carolina University (Greenville, NC) ",1995,8218,2358,1797,209,3528,57335,32250,11215
"East Carolina University (Greenville, NC) ",1996,9101,2541,3027,454,2725,57614,34300,12701
"East Carolina University (Greenville, NC) ",1997,8389,2824,2266,122,2556,59862,35000,11060
"East Carolina University (Greenville, NC) ",1998,8926,3239,2254,442,2454,70392,36000,13317
"Eastern Michigan University (Ypsilanti, MI) ",1990,2297695,360701,760453,16830,555586,63184,63184,7607
"Eastern Michigan University (Ypsilanti, MI) ",1991,1920354,314560,751216,150300,653070,69034,69034,4932
"Eastern Michigan University (Ypsilanti, MI) ",1992,2344167,339427,967587,64475,836404,73371,11500,6179
"Eastern Michigan University (Ypsilanti, MI) ",1993,,,,,,,,
"Eastern Michigan University (Ypsilanti, MI) ",1995,4347,708,1482,411,1079,85821,14632,7285
"Eastern Michigan University (Ypsilanti, MI) ",1996,6151,964,1418,859,2772,83229,22159,6824
"Eastern Michigan University (Ypsilanti, MI) ",1997,9190,587,733,838,6351,93058,18347,6207
"Eastern Michigan University (Ypsilanti, MI) ",1998,4789,645,1380,728,1797,99018,96266,6118
"Florida Atlantic University (Boca Raton, FL) ",1990,,,,,,,,
"Florida Atlantic University (Boca Raton, FL) ",1991,7628324,45936,6061986,805901,640790,34500,34500,525
"Florida Atlantic University (Boca Raton, FL) ",1992,5051296,41513,3648248,459829,744568,36000,36000,398
"Florida Atlantic University (Boca Raton, FL) ",1993,7568657,101316,3669807,806489,311274,36599,36599,1335
"Florida Atlantic University (Boca Raton, FL) ",1995,8132,133,1088,630,5686,49000,39000,2183
"Florida Atlantic University (Boca Raton, FL) ",1996,7557,163,2071,2026,2854,46000,46000,2807
"Florida Atlantic University (Boca Raton, FL) ",1997,10135,154,6103,582,2436,56600,45300,2948
"Florida Atlantic University (Boca Raton, FL) ",1998,15519,1172,4840,1419,2513,60000,40000,2066
"Florida International University (Miami, FL) ",1990,,,,,,,,
"Florida International University (Miami, FL) ",1991,3614299,147020,628093,356643,1089107,36000,10091,2521
"Florida International University (Miami, FL) ",1992,,,,,,,,
"Florida International University (Miami, FL) ",1993,,,,,,,,
"Florida International University (Miami, FL) ",1995,,,,,,,,
"Florida International University (Miami, FL) ",1996,,,,,,,,
"Florida International University (Miami, FL) ",1997,,,,,,,,
"Florida International University (Miami, FL) ",1998,,,,,,,,
"Florida State University (Tallahassee, FL) ",1990,31625696,3842199,13460503,1033598,5290131,123660,102209,12200
"Florida State University (Tallahassee, FL) ",1991,18167614,4029289,7240262,589895,3997266,132489,105213,12974
"Florida State University (Tallahassee, FL) ",1992,22360149,4722387,11104216,2358258,3683483,137702,114041,13594
"Florida State University (Tallahassee, FL) ",1993,17916811,4487067,7830816,1032673,4487425,139319,139319,13016
"Florida State University (Tallahassee, FL) ",1995,31622,12512,9054,4847,4629,151034,69142,12649
"Florida State University (Tallahassee, FL) ",1996,29989,8028,12133,3064,6591,166621,76282,13775
"Florida State University (Tallahassee, FL) ",1997,32964,8645,9650,3688,10800,168419,87295,13699
"Florida State University (Tallahassee, FL) ",1998,45409,11974,18791,1921,12439,170251,170251,14157
"Georgia Institute of Technology (Atlanta, GA) ",1990,28531258,11651738,987193,5290268,9783212,64749,64749,19101
"Georgia Institute of Technology (Atlanta, GA) ",1991,32183182,11145435,807537,4934899,14792043,67759,66859,19324
"Georgia Institute of Technology (Atlanta, GA) ",1992,38060600,13175075,1745497,3636870,18937212,75738,68900,19672
"Georgia Institute of Technology (Atlanta, GA) ",1993,36130095,8950822,3184350,6577581,15952992,70178,70946,20489
