Public Master's / FY2008 																																					
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
"Arkansas State University (State University, AR) "	"$132,530 "	"$1,000 "	$0 	"$1,914 "	"$1,040,109 "	"$74,901 "	"$473,856 "	"$190,293 "	"$2,205,213 "	6.40%	6.60%	6.10%	100.00%	28.60%	"59,726"	"3,804"	"$2,723,905 "	"1,366"	"$1,093,001 "	0	$0 	"1,366"	"$1,093,001 "	"$3,652,652 "	"$13,918 "	"$1,326,842 "	"$18,155 "	"$543,742 "	"$352,162 "	"$3,203,803 "	"$1,093,001 "	"$7,473,697 "	"$9,512,964 "	"$9,746,089 "	--	--	--
"Arkansas Tech University (Russellville, AR) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Armstrong Atlantic State University (Savannah, GA) "	"$26,577 "	$108 	$0 	"$1,323 "	$4 	"$58,216 "	"$2,838 "	$175 	"$159,404 "	2.90%	3.20%	2.90%	84.50%	11.30%	"27,248"	802	"$159,404 "	0	$0 	0	$0 	0	$0 	"$257,262 "	"$10,954 "	"$106,425 "	$100 	"$106,425 "	"$40,050 "	"$257,262 "	"$139,335 "	"$1,411,052 "	"$1,411,052 "	"$1,411,052 "	--	--	--
"Auburn University at Montgomery (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Augusta State University (Augusta, GA) "	"$33,013 "	$0 	$0 	$428 	$0 	"$3,000 "	"$34,053 "	"$41,245 "	"$182,067 "	5.70%	5.70%	2.80%	42.60%	30.80%	"21,679"	"1,228"	"$341,616 "	5	"$37,900 "	0	$0 	5	"$37,900 "	"$221,040 "	"$8,929 "	"$178,176 "	"$25,000 "	"$92,525 "	"$25,100 "	"$175,532 "	"$196,087 "	"$708,437 "	"$1,107,467 "	"$1,107,467 "	--	--	--
"Bloomsburg Univ. of Pennsylvania (Bloomsburg, PA) "	"$12,975 "	$0 	$0 	"$2,785 "	$60 	"$82,289 "	"$18,707 "	"$55,666 "	"$581,696 "	11.90%	11.90%	10.90%	91.60%	18.10%	"47,872"	"5,685"	"$823,623 "	"1,833"	"$270,812 "	53	"$70,647 "	"1,886"	"$341,459 "	"$500,587 "	"$15,895 "	"$457,635 "	"$2,100 "	"$456,535 "	"$10,098 "	"$472,584 "	"$106,488 "	"$4,094,985 "	"$4,562,600 "	"$4,614,200 "	--	--	--
"Boise State University (Boise, ID) "	"$164,850 "	$0 	"$50,000 "	$0 	$0 	"$106,785 "	"$221,173 "	"$109,697 "	"$874,474 "	7.80%	--	--	79.90%	11.70%	"59,835"	"4,639"	"$1,967,656 "	--	--	--	--	--	--	"$5,328,723 "	"$9,222 "	"$1,737,289 "	"$25,315 "	"$995,450 "	"$258,744 "	"$1,707,012 "	"$2,525,820 "	"$7,397,743 "	"$16,850,315 "	"$16,994,761 "	--	--	--
"Bowie State University (Bowie, MD) "	--	--	--	--	--	--	--	--	--	3.10%	--	--	92.90%	9.70%	"24,847"	771	--	--	--	--	--	--	--	"$856,578 "	"$11,727 "	$90 	--	--	--	--	--	"$1,224,985 "	"$1,342,917 "	"$1,342,917 "	--	--	--
"Bridgewater State College (Bridgewater, MA) "	--	--	--	--	--	--	--	--	"$1,070,218 "	4.70%	4.70%	4.00%	59.60%	57.30%	"57,799"	"2,694"	"$1,079,715 "	--	--	--	--	--	--	"$244,933 "	"$10,940 "	"$86,000 "	--	"$86,000 "	--	"$244,933 "	--	"$1,876,203 "	"$1,885,700 "	"$1,901,203 "	--	--	--
"California Polytechnic State University (San Luis Obispo, CA) "	"$2,077,410 "	"$7,575 "	"$20,000 "	$670 	"$379,900 "	"$177,952 "	"$165,914 "	"$111,131 "	"$2,982,608 "	6.40%	--	6.30%	28.10%	29.60%	"135,640"	"8,680"	"$5,429,180 "	"1,891"	"$811,919 "	52	"$1,831,532 "	"1,943"	"$2,643,451 "	"$5,455,480 "	"$16,237 "	"$2,118,118 "	"$21,160 "	"$1,777,878 "	"$202,201 "	"$3,612,311 "	"$583,669 "	"$10,789,406 "	"$18,327,989 "	"$18,507,411 "	--	--	--
"California State Univ., Bakersfield (Bakersfield, CA) "	"$7,509 "	$0 	$0 	"$3,306 "	$0 	"$23,156 "	"$25,694 "	"$5,675 "	"$127,585 "	3.90%	3.80%	3.90%	57.20%	3.50%	"24,127"	946	"$134,385 "	121	"$1,000,153 "	0	$0 	121	"$1,000,153 "	"$1,948,779 "	"$14,960 "	"$146,913 "	"$45,000 "	"$96,413 "	"$561,538 "	"$1,731,982 "	"$1,000,153 "	"$2,659,208 "	"$3,874,067 "	"$3,874,067 "	--	--	--
"California State Univ., Chico (Chico, CA) "	"$200,500 "	$0 	$0 	$165 	"$71,436 "	"$38,040 "	$63 	$0 	"$401,580 "	4.60%	5.00%	3.20%	55.70%	16.50%	"126,058"	"5,837"	"$1,109,268 "	588	"$186,359 "	3	"$3,400 "	591	"$189,759 "	"$1,973,310 "	"$14,057 "	"$1,841,402 "	$0 	"$347,770 "	$50 	"$732,963 "	$865 	"$2,140,646 "	"$6,740,049 "	"$6,807,545 "	--	--	--
"California State Univ., Dominguez Hills (Carson, CA) "	"$6,347 "	$0 	$0 	$941 	"$2,412 "	"$81,160 "	"$2,356 "	"$2,374 "	"$128,390 "	1.30%	1.40%	1.30%	79.30%	7.50%	"50,690"	656	"$142,310 "	0	$0 	0	$0 	0	$0 	"$1,072,402 "	"$12,085 "	"$206,250 "	$0 	"$148,250 "	"$127,980 "	"$1,057,802 "	"$182,886 "	"$1,572,046 "	"$1,892,818 "	"$1,907,345 "	--	--	--
"California State Univ., East Bay (Hayward, CA) "	"$48,062 "	"$4,000 "	$100 	"$1,270 "	$290 	"$3,240 "	$0 	"$1,266 "	"$171,460 "	1.50%	--	1.40%	81.60%	30.20%	"98,000"	"1,451"	"$478,971 "	0	$0 	0	$0 	0	$0 	"$289,540 "	"$13,885 "	"$451,814 "	$0 	"$423,814 "	$0 	"$266,110 "	$0 	"$1,065,042 "	"$1,584,675 "	"$1,584,675 "	--	--	--
"California State Univ., Fresno (Fresno, CA) "	"$239,110 "	$0 	"$19,563 "	"$26,977 "	$0 	"$149,110 "	"$1,034,081 "	"$353,461 "	"$1,883,952 "	2.60%	3.30%	2.50%	27.20%	39.80%	"158,347"	"4,123"	"$6,651,962 "	"3,389"	"$4,304,968 "	40	"$156,468 "	"3,429"	"$4,461,436 "	"$3,581,221 "	"$13,254 "	"$1,113,223 "	$792 	"$764,373 "	"$1,178,400 "	"$2,667,918 "	"$4,501,085 "	"$8,592,217 "	"$16,708,909 "	"$16,757,909 "	--	--	--
"California State Univ., Fullerton (Fullerton, CA) "	"$271,750 "	"$10,200 "	$0 	$845 	$420 	"$218,574 "	"$160,643 "	"$45,742 "	"$885,595 "	2.80%	2.70%	2.60%	77.30%	20.40%	"169,719"	"4,671"	"$2,293,322 "	962	"$397,250 "	0	$0 	962	"$397,250 "	"$2,619,798 "	"$10,592 "	"$3,606,243 "	"$28,350 "	"$1,150,891 "	"$72,117 "	"$1,926,414 "	"$396,999 "	"$5,198,444 "	"$11,258,260 "	"$11,307,959 "	--	--	--
"California State Univ., Humboldt (Arcata, CA) "	"$185,201 "	$0 	$0 	"$4,445 "	$25 	"$77,263 "	"$30,861 "	"$6,418 "	"$637,465 "	10.00%	--	10.00%	84.70%	19.70%	"43,252"	"4,338"	"$704,512 "	"1,364"	"$289,850 "	0	$0 	"1,364"	"$289,850 "	"$352,641 "	"$16,237 "	"$1,154,383 "	"$12,685 "	"$1,043,383 "	"$117,808 "	"$347,943 "	"$262,248 "	"$3,172,993 "	"$3,574,117 "	"$3,575,941 "	--	--	--
"California State Univ., Long Beach (Long Beach, CA) "	"$203,070 "	"$1,000 "	$0 	"$5,099 "	$0 	"$212,487 "	"$255,108 "	"$69,721 "	"$1,519,587 "	5.00%	5.00%	5.00%	53.60%	10.50%	"215,839"	"10,879"	"$2,317,476 "	"2,389"	"$2,062,762 "	88	"$531,889 "	"2,477"	"$2,594,651 "	"$3,425,564 "	"$11,808 "	"$1,803,103 "	"$31,000 "	"$1,134,406 "	"$392,789 "	"$3,246,389 "	"$1,245,636 "	"$11,359,085 "	"$22,035,196 "	"$26,486,900 "	--	--	--
"California State Univ., Los Angeles (Los Angeles, CA) "	"$9,660 "	$0 	$0 	$490 	$250 	"$46,331 "	"$9,364 "	"$3,031 "	"$295,914 "	3.10%	--	3.10%	29.10%	5.10%	"105,871"	"3,287"	"$346,609 "	273	"$129,509 "	11	"$25,111 "	284	"$154,620 "	"$620,676 "	"$12,244 "	"$4,761,663 "	"$26,850 "	"$1,164,363 "	"$27,931 "	"$597,945 "	"$123,775 "	"$2,756,166 "	"$6,816,148 "	"$6,857,542 "	--	--	--
"California State Univ., Northridge (Northridge, CA) "	"$339,890 "	"$1,175 "	"$9,250 "	"$25,381 "	$0 	"$37,993 "	"$39,641 "	"$7,133 "	"$541,027 "	1.60%	--	1.50%	93.20%	6.40%	"194,327"	"3,115"	"$867,519 "	628	"$224,934 "	--	--	628	"$224,934 "	"$3,384,403 "	"$10,579 "	"$1,518,504 "	"$12,500 "	"$880,344 "	"$61,312 "	"$1,532,026 "	"$224,934 "	"$9,141,465 "	"$13,635,134 "	"$14,136,987 "	--	--	--
"California State Univ., Pomona (Pomona, CA) "	"$439,530 "	"$31,490 "	"$100,100 "	$367 	"$21,668 "	"$67,098 "	"$9,134 "	"$113,844 "	"$1,093,288 "	3.60%	--	3.40%	18.90%	42.10%	"108,674"	"3,892"	"$2,329,821 "	--	--	--	--	--	--	"$1,258,525 "	"$12,610 "	"$307,104 "	$0 	"$300,004 "	"$10,504 "	"$983,282 "	"$44,124 "	"$3,433,786 "	"$5,537,063 "	"$5,537,063 "	--	--	--
"California State Univ., Sacramento (Sacramento, CA) "	"$113,227 "	$0 	$0 	$240 	$0 	"$99,821 "	"$56,195 "	"$42,493 "	"$432,047 "	2.30%	2.30%	2.20%	28.60%	6.60%	"165,625"	"3,754"	"$671,286 "	--	--	--	--	--	--	"$2,185,149 "	"$12,655 "	"$722,437 "	"$38,500 "	"$692,409 "	"$50,392 "	"$965,824 "	"$347,977 "	"$5,541,504 "	"$10,243,150 "	"$10,243,150 "	--	--	--
"California State Univ., San Bernardino (San Bernardino, CA) "	"$78,558 "	$100 	$0 	$375 	$21 	"$32,118 "	"$41,994 "	"$39,269 "	"$193,365 "	2.30%	--	2.30%	32.70%	4.00%	"60,363"	"1,397"	"$301,031 "	0	$0 	0	$0 	0	$0 	"$1,001,185 "	"$13,485 "	"$3,996,987 "	"$1,000 "	"$1,008,371 "	"$61,692 "	"$973,136 "	"$138,337 "	"$2,958,142 "	"$7,440,552 "	"$8,192,204 "	--	--	--
"California State Univ., San Marcos (San Marcos, CA) "	"$11,190 "	$0 	$0 	$620 	$0 	$120 	"$3,485 "	"$4,855 "	"$25,006 "	0.40%	0.40%	0.30%	96.30%	0.60%	"18,337"	73	"$28,024 "	736	"$113,210 "	0	$0 	736	"$113,210 "	"$842,384 "	"$13,033 "	"$2,205,034 "	"$2,900 "	"$936,534 "	"$10,645 "	"$834,884 "	"$113,210 "	"$2,380,036 "	"$4,758,078 "	"$4,758,078 "	--	--	--
"California State Univ., Sonoma (Rohnert Park, CA) "	"$48,869 "	$0 	$0 	$760 	$0 	"$18,868 "	"$5,145 "	"$357,548 "	"$445,241 "	0.90%	--	0.80%	0.90%	36.20%	"42,319"	369	"$4,568,980 "	--	--	--	--	--	--	"$358,653 "	"$14,799 "	"$522,756 "	"$2,147 "	"$235,256 "	"$15,004 "	"$299,219 "	"$81,813 "	"$2,559,190 "	"$12,621,276 "	"$12,900,675 "	--	--	--
"California State Univ., Stanislaus (Turlock, CA) "	"$2,555 "	$0 	$0 	$0 	$0 	"$23,430 "	"$9,150 "	"$8,019 "	"$43,353 "	0.50%	0.60%	0.50%	20.90%	2.40%	"38,370"	203	"$44,956 "	426	"$200,380 "	0	$0 	426	"$200,380 "	"$791,436 "	"$13,267 "	"$504,425 "	$180 	"$480,425 "	"$136,262 "	"$692,561 "	"$199,185 "	"$1,561,459 "	"$1,896,905 "	"$1,896,905 "	--	--	--
"California Univ. of Pennsylvania (California, PA) "	"$20,957 "	$0 	$0 	$140 	$52 	"$177,328 "	"$5,720 "	"$11,877 "	"$317,134 "	10.80%	--	10.20%	90.50%	21.30%	"43,675"	"4,729"	"$843,929 "	69	"$4,754 "	--	--	69	"$4,754 "	"$724,663 "	"$12,908 "	"$300,494 "	$880 	"$277,747 "	"$107,609 "	"$678,313 "	"$129,396 "	"$1,860,663 "	"$3,958,350 "	"$3,967,591 "	--	--	--
"Cameron University (Lawton, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Castleton State College (Castleton, VT) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Central Connecticut State University (New Britain, CT) "	"$19,517 "	$0 	$0 	$0 	$0 	"$3,650 "	"$46,639 "	"$12,526 "	"$159,350 "	5.50%	6.10%	3.50%	85.70%	18.20%	"54,472"	"3,011"	"$360,636 "	474	"$173,244 "	232	"$90,332 "	706	"$263,576 "	"$245,828 "	"$15,549 "	"$148,012 "	"$26,100 "	"$136,226 "	"$53,708 "	"$163,350 "	"$173,244 "	"$558,553 "	"$1,981,750 "	"$1,981,750 "	--	--	--
"Central Washington University (Ellensburg, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Cheyney Univ. of Pennsylvania (Cheyney, PA) "	--	--	--	--	--	--	--	--	--	4.80%	--	--	90.40%	17.80%	"9,384"	454	--	--	--	--	--	--	--	"$352,764 "	"$31,673 "	"$285,635 "	--	--	--	--	--	"$877,048 "	"$903,173 "	"$903,173 "	--	--	--
"Chicago State University (Chicago, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Citadel Military College of South Carolina (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Clarion Univ. of Pennsylvania (Clarion, PA) "	"$10,953 "	$0 	$0 	"$1,048 "	$0 	"$24,905 "	"$27,141 "	"$62,888 "	"$1,334,522 "	9.40%	--	--	66.40%	55.90%	"44,539"	"4,205"	"$3,083,627 "	278	"$83,491 "	0	$0 	278	"$83,491 "	"$387,751 "	"$12,306 "	"$889,949 "	$0 	"$364,449 "	"$30,900 "	"$247,481 "	"$82,302 "	"$2,323,998 "	"$5,520,848 "	"$5,559,925 "	--	--	--
"College of Charleston (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"College of New Jersey (Ewing, NJ) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Columbus State University (Columbus, GA) "	--	--	--	--	--	--	--	--	"$824,518 "	8.50%	8.40%	8.40%	72.00%	9.60%	"23,043"	"1,948"	"$856,564 "	536	"$179,023 "	11	"$136,725 "	547	"$315,748 "	"$988,541 "	"$10,618 "	"$3,550,018 "	--	"$1,014,659 "	--	"$925,340 "	--	"$4,688,843 "	"$8,892,137 "	"$8,912,752 "	--	--	--
Coppin State University (Baltimore) 	--	--	--	--	--	--	--	--	--	2.90%	--	--	100.00%	5.00%	"8,048"	234	--	--	--	--	--	--	--	"$142,121 "	"$17,724 "	"$191,581 "	--	--	--	--	--	"$668,863 "	"$668,863 "	"$668,863 "	--	--	--
"Cornerstone University (Grand Rapids, MI) "	"$1,520 "	$0 	$0 	$0 	$0 	"$43,215 "	"$3,940 "	"$22,100 "	"$119,471 "	4.50%	--	3.60%	28.60%	5.30%	"15,173"	684	"$120,138 "	61	"$47,472 "	0	$0 	61	"$47,472 "	"$202,302 "	"$27,421 "	"$1,554,216 "	"$3,000 "	"$429,216 "	"$17,930 "	"$152,302 "	"$47,472 "	"$1,030,500 "	"$2,272,967 "	"$2,272,967 "	--	--	--
"CUNY-Bernard M. Baruch College (New York, NY) "	"$859,948 "	"$50,000 "	$0 	"$65,000 "	$0 	"$109,613 "	$0 	$0 	"$3,377,247 "	5.60%	--	5.60%	63.10%	24.50%	"97,122"	"5,458"	"$5,137,192 "	0	$0 	0	$0 	0	$0 	"$6,447,982 "	"$10,222 "	"$7,501,788 "	$0 	"$3,178,038 "	$0 	"$1,136,267 "	$0 	"$9,388,542 "	"$20,963,728 "	"$21,161,598 "	--	--	--
"CUNY-Brooklyn College (Brooklyn, NY) "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$2,015,426 "	"$3,296,758 "	7.40%	--	7.10%	100.00%	46.70%	"90,769"	"6,706"	"$5,803,148 "	--	--	--	--	--	--	"$266,699 "	"$11,533 "	"$171,890 "	$0 	"$159,990 "	$0 	"$201,355 "	$0 	"$7,811,878 "	"$12,413,786 "	"$12,413,786 "	--	--	--
"CUNY-City College of NY (New York, NY) "	--	--	--	--	--	--	--	--	--	11.70%	--	--	100.00%	83.80%	"100,000"	"11,692"	--	--	--	--	--	--	--	"$9,948,560 "	"$8,789 "	"$175,818 "	--	--	--	--	--	"$37,118,300 "	"$62,556,378 "	"$62,556,378 "	--	--	--
"CUNY-College of Staten Island (Staten Island, NY) "	--	--	--	--	--	--	--	--	--	2.50%	--	--	7.20%	3.80%	"53,047"	"1,300"	--	--	--	--	--	--	--	"$367,937 "	"$10,286 "	"$442,841 "	--	--	--	--	--	"$1,402,156 "	"$1,402,156 "	"$1,402,156 "	--	--	--
"CUNY-Herbert H. Lehman College (Bronx, NY) "	--	--	--	--	--	--	--	--	--	2.10%	--	--	55.60%	3.60%	"45,000"	965	--	--	--	--	--	--	--	"$535,555 "	"$10,579 "	"$200,648 "	--	--	--	--	--	"$2,383,070 "	"$2,951,176 "	"$2,951,176 "	--	--	--
"CUNY-Hunter College (New York, NY) "	"$2,847,875 "	"$1,200 "	$0 	"$9,190 "	"$500,000 "	"$162,292 "	$0 	$0 	"$4,318,842 "	5.20%	--	4.80%	69.40%	35.30%	"130,143"	"6,710"	"$6,269,931 "	--	--	--	--	--	--	"$372,735 "	"$6,237 "	"$3,877,101 "	$0 	"$3,203,850 "	$0 	"$362,485 "	$0 	"$14,665,594 "	"$17,762,953 "	"$17,762,953 "	--	--	--
"CUNY-John Jay College (New York, NY) "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$82,684 "	2.60%	2.20%	2.60%	100.00%	2.00%	"32,385"	847	"$82,684 "	0	$0 	0	$0 	0	$0 	"$820,039 "	"$10,812 "	"$1,644,034 "	$0 	"$1,644,034 "	"$8,715 "	"$820,039 "	"$22,135 "	"$4,109,625 "	"$4,109,625 "	"$4,109,625 "	--	--	--
"CUNY-Queens College (Flushing, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Delaware State University (Dover, DE) "	--	--	--	--	--	--	--	--	--	4.60%	--	--	100.00%	9.60%	"13,686"	634	--	--	--	--	--	--	--	"$604,777 "	"$58,737 "	"$97,235 "	--	--	--	--	--	"$960,673 "	"$1,209,732 "	"$1,209,732 "	--	--	--
"Delta State University (Cleveland, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Central University (Ada, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Stroudsburg Univ. of Pennsylvania (East Stroudsburg, PA) "	$652 	$0 	$0 	"$1,232 "	$0 	"$85,044 "	$0 	"$6,540 "	"$343,332 "	12.70%	13.40%	11.70%	95.50%	50.40%	"34,135"	"4,339"	"$1,312,482 "	--	--	--	--	--	--	"$575,406 "	"$12,482 "	"$105,350 "	$0 	"$26,850 "	$0 	"$313,434 "	$0 	"$821,022 "	"$2,605,134 "	"$2,721,854 "	--	--	--
"Eastern Connecticut State University (Willimantic, CT) "	$0 	$0 	$0 	$300 	$260 	"$5,915 "	"$8,693 "	"$11,412 "	"$53,821 "	4.40%	4.70%	1.80%	65.50%	4.70%	"27,642"	"1,209"	"$331,842 "	186	"$205,448 "	0	$0 	186	"$205,448 "	"$486,601 "	"$15,460 "	"$253,620 "	$100 	"$198,045 "	"$14,965 "	"$419,629 "	"$205,448 "	"$1,071,474 "	"$7,001,461 "	"$7,001,461 "	--	--	--
"Eastern Illinois University (Charleston, IL) "	"$343,887 "	$0 	$340 	"$12,090 "	"$1,050 "	"$51,167 "	"$110,890 "	"$3,148 "	"$555,954 "	7.90%	--	--	100.00%	17.30%	"66,645"	"5,266"	"$1,178,499 "	981	"$489,461 "	0	$0 	981	"$489,461 "	"$494,029 "	"$13,336 "	"$3,062,545 "	"$2,500 "	"$58,345 "	"$121,673 "	"$387,681 "	"$355,363 "	"$1,443,172 "	"$6,797,216 "	"$6,816,417 "	--	--	--
"Eastern Kentucky University (Richmond, KY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Michigan University (Ypsilanti, MI) "	"$220,269 "	$0 	$905 	"$19,966 "	"$1,480 "	"$28,502 "	"$88,619 "	"$119,443 "	"$540,340 "	2.50%	--	2.30%	78.60%	13.40%	"156,700"	"3,948"	"$1,059,565 "	787	"$502,839 "	57	"$269,325 "	844	"$772,164 "	"$1,384,889 "	"$11,952 "	"$982,608 "	$0 	"$470,108 "	"$273,684 "	"$1,237,332 "	"$459,773 "	"$5,935,648 "	"$7,881,500 "	"$7,903,817 "	--	--	--
"Eastern New Mexico University (Portales, NM) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Oregon State College (La Grande, OR) "	"$13,149 "	$0 	$0 	$219 	"$87,905 "	"$100,085 "	"$82,219 "	$0 	"$364,965 "	1.90%	1.70%	1.60%	0.00%	99.50%	"19,542"	364	"$134,477 "	22	"$200,000 "	0	$0 	22	"$200,000 "	"$2,850 "	$212 	$0 	$0 	$0 	$0 	"$2,850 "	"$82,219 "	"$367,815 "	"$577,887 "	"$577,887 "	--	--	--
"Eastern Washington University (Cheney, WA) "	--	--	--	--	--	--	--	--	--	7.00%	--	--	84.00%	22.90%	"80,762"	"5,651"	--	--	--	--	--	--	--	"$581,976 "	"$13,977 "	"$383,427 "	--	--	--	--	--	"$1,874,414 "	"$2,943,873 "	"$2,957,373 "	--	--	--
