Public Master's / FY2009 																																					
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
"Arkansas State University (State University, AR) "	"$123,250 "	$0 	$20 	"$1,613 "	"$51,573 "	"$65,414 "	"$482,592 "	"$193,829 "	"$954,021 "	6.60%	6.90%	6.40%	97.20%	7.40%	"61,321"	"4,059"	"$1,151,112 "	"1,393"	"$1,211,891 "	0	$0 	"1,393"	"$1,211,891 "	"$1,849,650 "	"$14,242 "	"$10,970,927 "	"$21,590 "	"$10,620,387 "	"$415,135 "	"$1,532,285 "	"$1,211,891 "	"$14,512,970 "	"$15,551,805 "	"$15,551,805 "	--	--	--
"Arkansas Tech University (Russellville, AR) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Armstrong Atlantic State University (Savannah, GA) "	"$19,138 "	$313 	$0 	$460 	$206 	"$24,312 "	"$3,916 "	$790 	"$104,313 "	2.60%	2.90%	2.60%	78.30%	12.20%	"28,442"	741	"$104,313 "	0	$0 	0	$0 	0	$0 	"$247,175 "	"$10,633 "	"$131,046 "	$0 	"$131,046 "	"$14,834 "	"$247,175 "	"$95,747 "	"$853,026 "	"$853,026 "	"$853,026 "	--	--	--
"Auburn University at Montgomery (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Augusta State University (Augusta, GA) "	"$22,029 "	$0 	$0 	$0 	$0 	$0 	"$9,637 "	"$6,316 "	"$163,857 "	6.30%	6.30%	5.20%	34.40%	7.10%	"27,772"	"1,736"	"$243,129 "	2	"$26,000 "	--	--	2	"$26,000 "	"$267,882 "	"$8,032 "	"$2,134,593 "	$0 	"$94,734 "	"$24,850 "	"$217,416 "	"$98,110 "	"$726,118 "	"$3,437,123 "	"$3,437,123 "	--	--	--
"Bloomsburg Univ. of Pennsylvania (Bloomsburg, PA) "	"$11,625 "	$0 	$0 	$715 	$0 	"$80,097 "	"$16,470 "	"$73,984 "	"$774,953 "	10.60%	--	10.20%	89.30%	27.10%	"49,364"	"5,213"	"$898,685 "	0	$0 	0	$0 	0	$0 	"$422,792 "	"$16,465 "	"$822,763 "	$0 	"$322,763 "	"$11,907 "	"$405,276 "	"$73,879 "	"$1,841,305 "	"$3,314,475 "	"$3,317,935 "	--	--	--
"Boise State University (Boise, ID) "	"$203,227 "	$0 	"$51,220 "	"$1,140 "	$0 	"$199,215 "	"$858,239 "	"$12,064 "	"$1,477,112 "	6.50%	--	--	67.40%	16.30%	"63,011"	"4,085"	"$3,264,583 "	--	--	--	--	--	--	"$6,784,066 "	"$10,047 "	"$1,582,490 "	"$95,411 "	"$827,979 "	"$210,519 "	"$1,575,182 "	"$3,236,818 "	"$9,078,422 "	"$20,010,287 "	"$20,034,470 "	--	--	--
"Bowie State University (Bowie, MD) "	--	--	--	--	--	--	--	--	--	7.90%	--	--	71.30%	35.00%	"26,081"	"2,054"	--	--	--	--	--	--	--	"$687,490 "	"$13,505 "	$0 	--	--	--	--	--	"$957,704 "	"$1,233,246 "	"$1,233,246 "	--	--	--
"Bridgewater State College (Bridgewater, MA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"California Polytechnic State University (San Luis Obispo, CA) "	"$1,084,653 "	"$7,400 "	"$20,000 "	"$4,485 "	"$206,280 "	"$123,800 "	"$150,191 "	"$130,124 "	"$1,739,443 "	6.20%	--	6.00%	26.70%	24.30%	"139,086"	"8,567"	"$4,656,888 "	"1,987"	"$888,557 "	31	"$2,166,987 "	"2,018"	"$3,055,544 "	"$5,653,294 "	"$17,029 "	"$4,123,507 "	"$6,710 "	"$3,869,269 "	"$219,257 "	"$4,136,304 "	"$663,398 "	"$13,362,779 "	"$19,135,893 "	"$19,190,088 "	--	--	--
"California State Univ., Bakersfield (Bakersfield, CA) "	$610 	$0 	$0 	"$2,684 "	$0 	"$41,366 "	"$10,000 "	"$24,670 "	"$105,374 "	1.70%	1.80%	1.60%	46.10%	2.70%	"30,799"	510	"$117,399 "	59	"$624,498 "	12	"$740,834 "	71	"$1,365,332 "	"$2,427,934 "	"$14,775 "	"$538,884 "	"$35,000 "	"$516,234 "	"$529,131 "	"$1,334,003 "	"$897,137 "	"$2,874,451 "	"$4,315,558 "	"$4,315,558 "	--	--	--
"California State Univ., Chico (Chico, CA) "	"$174,183 "	$0 	$0 	$125 	$0 	"$94,665 "	"$42,632 "	$0 	"$447,051 "	4.20%	4.50%	3.10%	74.40%	15.90%	"128,904"	"5,473"	"$741,506 "	776	"$186,191 "	0	$0 	776	"$186,191 "	"$1,813,666 "	"$14,023 "	"$638,816 "	"$51,887 "	"$251,026 "	"$34,743 "	"$660,076 "	"$179,344 "	"$1,791,717 "	"$4,668,408 "	"$4,695,489 "	--	--	--
"California State Univ., Dominguez Hills (Carson, CA) "	"$6,216 "	$0 	$0 	"$5,010 "	$0 	"$33,664 "	"$2,097 "	"$12,246 "	"$88,915 "	1.30%	1.30%	1.30%	88.50%	3.10%	"56,470"	754	"$102,644 "	0	$0 	0	$0 	0	$0 	"$1,090,819 "	"$11,671 "	"$516,171 "	$0 	"$306,171 "	"$49,387 "	"$1,077,525 "	"$72,247 "	"$2,972,961 "	"$3,331,197 "	"$3,335,159 "	--	--	--
"California State Univ., East Bay (Hayward, CA) "	"$53,057 "	$0 	$0 	$225 	"$200,150 "	"$6,775 "	"$1,347 "	"$7,071 "	"$356,282 "	1.50%	1.50%	1.50%	93.00%	19.70%	"88,743"	"1,334"	"$386,807 "	0	"$23,661 "	0	$0 	0	"$23,661 "	"$537,891 "	"$13,743 "	"$549,661 "	$0 	"$533,876 "	"$3,502 "	"$487,391 "	"$23,661 "	"$1,635,999 "	"$1,965,283 "	"$1,965,283 "	--	--	--
"California State Univ., Fresno (Fresno, CA) "	"$281,012 "	$250 	"$27,251 "	"$71,978 "	$400 	"$55,567 "	"$2,130,422 "	"$214,308 "	"$2,861,743 "	2.70%	3.40%	2.60%	56.30%	7.20%	"169,580"	"4,519"	"$3,206,627 "	"3,204"	"$3,594,130 "	12	"$404,699 "	"3,216"	"$3,998,829 "	"$3,477,332 "	"$13,438 "	"$32,478,175 "	"$12,256 "	"$31,960,175 "	"$1,328,098 "	"$2,900,013 "	"$5,061,468 "	"$41,197,638 "	"$44,633,482 "	"$44,633,482 "	--	--	--
"California State Univ., Fullerton (Fullerton, CA) "	"$2,149,730 "	$515 	"$14,650 "	$450 	$50 	"$271,795 "	"$150,143 "	"$51,447 "	"$2,814,190 "	2.60%	2.60%	2.50%	78.20%	35.10%	"178,748"	"4,607"	"$5,102,555 "	"1,265"	"$550,683 "	1	"$10,000 "	"1,266"	"$560,683 "	"$2,932,876 "	"$10,125 "	"$1,788,047 "	"$40,250 "	"$1,198,174 "	"$133,024 "	"$2,601,266 "	"$550,433 "	"$9,818,044 "	"$14,521,567 "	"$14,599,847 "	--	--	--
"California State Univ., Humboldt (Arcata, CA) "	"$162,601 "	$0 	"$1,225 "	"$4,915 "	$0 	"$56,684 "	"$39,178 "	"$21,607 "	"$580,405 "	8.80%	--	8.60%	69.40%	18.10%	"43,920"	"3,880"	"$640,583 "	"1,596"	"$288,129 "	0	$0 	"1,596"	"$288,129 "	"$436,638 "	"$17,136 "	"$1,666,003 "	"$1,976 "	"$1,529,303 "	"$109,043 "	"$420,226 "	"$288,149 "	"$3,153,245 "	"$3,543,733 "	"$3,547,961 "	--	--	--
"California State Univ., Long Beach (Long Beach, CA) "	"$173,500 "	"$1,000 "	$0 	"$9,964 "	$0 	"$275,193 "	"$223,331 "	"$71,466 "	"$1,452,388 "	4.40%	4.20%	4.30%	55.20%	10.60%	"223,754"	"9,736"	"$2,140,940 "	"2,311"	"$4,723,065 "	64	"$131,689 "	"2,375"	"$4,854,754 "	"$3,867,351 "	"$11,564 "	"$3,675,337 "	"$19,076 "	"$1,238,237 "	"$318,806 "	"$3,689,746 "	"$1,047,370 "	"$11,335,098 "	"$20,134,215 "	"$22,718,759 "	--	--	--
"California State Univ., Los Angeles (Los Angeles, CA) "	"$13,504 "	$0 	$0 	$740 	"$1,967 "	"$30,137 "	"$5,120 "	"$20,832 "	"$997,610 "	2.80%	--	2.70%	34.70%	36.40%	"111,842"	"3,140"	"$1,910,305 "	245	"$120,373 "	11	"$29,470 "	256	"$149,843 "	"$1,119,498 "	"$13,124 "	"$1,391,539 "	"$23,500 "	"$739,289 "	"$29,515 "	"$821,222 "	"$120,223 "	"$3,273,008 "	"$5,254,426 "	"$5,259,627 "	--	--	--
"California State Univ., Northridge (Northridge, CA) "	"$404,776 "	"$1,000 "	"$5,731 "	"$32,024 "	$0 	"$37,785 "	"$55,894 "	"$10,198 "	"$617,868 "	1.80%	--	1.70%	89.00%	12.70%	"197,974"	"3,507"	"$1,121,067 "	541	"$230,473 "	25	"$16,655 "	566	"$247,128 "	"$3,138,787 "	"$10,583 "	"$2,389,454 "	"$10,000 "	"$1,651,139 "	"$73,711 "	"$1,414,908 "	"$228,874 "	"$4,672,144 "	"$8,815,405 "	"$8,940,339 "	--	--	--
"California State Univ., Pomona (Pomona, CA) "	"$503,533 "	"$1,195 "	$0 	$555 	"$15,440 "	"$37,532 "	"$44,864 "	"$63,922 "	"$886,712 "	3.60%	--	3.30%	33.80%	12.00%	"102,395"	"3,638"	"$949,235 "	--	--	--	--	--	--	"$1,582,574 "	"$13,133 "	"$360,075 "	"$6,600 "	"$319,266 "	"$1,150 "	"$1,190,639 "	"$119,686 "	"$3,569,853 "	"$7,907,739 "	"$7,913,341 "	--	--	--
"California State Univ., Sacramento (Sacramento, CA) "	"$111,388 "	$0 	$0 	$155 	$0 	"$79,716 "	"$75,481 "	"$36,793 "	"$410,065 "	2.10%	2.10%	2.10%	27.40%	11.40%	"173,040"	"3,659"	"$1,139,990 "	0	$0 	0	$0 	0	$0 	"$1,174,291 "	"$12,851 "	"$1,544,473 "	"$40,800 "	"$1,482,873 "	"$73,963 "	"$757,163 "	"$265,626 "	"$6,856,053 "	"$10,040,585 "	"$10,040,585 "	--	--	--
"California State Univ., San Bernardino (San Bernardino, CA) "	"$68,939 "	$0 	$0 	$360 	$160 	"$39,654 "	"$4,114 "	"$54,946 "	"$170,048 "	2.20%	--	2.10%	49.90%	3.50%	"58,699"	"1,277"	"$192,420 "	--	--	--	--	--	--	"$1,315,550 "	"$13,418 "	"$917,248 "	$120 	"$586,248 "	"$14,892 "	"$1,218,550 "	"$55,634 "	"$3,766,316 "	"$5,551,476 "	"$5,587,937 "	--	--	--
"California State Univ., San Marcos (San Marcos, CA) "	"$9,065 "	$0 	$0 	$430 	$0 	"$13,290 "	"$1,170 "	"$4,135 "	"$33,062 "	0.60%	0.50%	0.50%	61.10%	1.10%	"22,646"	125	"$36,212 "	638	"$106,415 "	0	$0 	638	"$106,415 "	"$738,085 "	"$13,588 "	"$1,188,309 "	$0 	"$1,052,809 "	"$26,886 "	"$502,628 "	"$106,415 "	"$2,821,812 "	"$3,281,022 "	"$3,281,022 "	--	--	--
"California State Univ., Sonoma (Rohnert Park, CA) "	"$41,180 "	$0 	$0 	$905 	$0 	"$12,294 "	"$2,501 "	"$8,465 "	"$86,825 "	0.90%	--	0.80%	35.60%	41.20%	"51,705"	455	"$2,969,518 "	--	--	--	--	--	--	"$262,326 "	"$14,606 "	"$1,455,193 "	$0 	"$236,070 "	"$14,950 "	"$227,175 "	"$122,135 "	"$1,641,377 "	"$7,213,861 "	"$8,675,307 "	--	--	--
"California State Univ., Stanislaus (Turlock, CA) "	"$3,803 "	$0 	$0 	$195 	$0 	"$25,681 "	"$10,676 "	"$14,370 "	"$62,285 "	0.80%	0.70%	0.70%	100.00%	3.50%	"41,826"	316	"$68,103 "	667	"$194,191 "	0	$0 	667	"$194,191 "	"$1,120,859 "	"$13,291 "	"$264,672 "	$750 	"$256,172 "	"$105,010 "	"$992,659 "	"$194,191 "	"$1,763,405 "	"$1,969,333 "	"$1,969,333 "	--	--	--
"California Univ. of Pennsylvania (California, PA) "	"$6,021 "	$0 	$0 	"$1,044 "	"$2,101 "	"$163,746 "	"$2,274 "	"$79,426 "	"$286,034 "	8.40%	--	3.40%	87.90%	17.20%	"45,805"	"3,856"	"$914,460 "	81	"$12,574 "	0	$0 	81	"$12,574 "	"$963,980 "	"$12,308 "	"$626,673 "	$0 	"$568,973 "	"$177,438 "	"$803,574 "	"$211,040 "	"$2,411,108 "	"$5,305,895 "	"$6,218,195 "	--	--	--
"Cameron University (Lawton, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Castleton State College (Castleton, VT) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Central Connecticut State University (New Britain, CT) "	"$31,437 "	$0 	$0 	$0 	$0 	"$10,750 "	"$44,780 "	"$28,287 "	"$176,393 "	5.20%	5.70%	3.00%	82.70%	24.10%	"55,385"	"2,858"	"$496,813 "	348	"$258,630 "	168	"$69,344 "	516	"$327,974 "	"$535,458 "	"$16,489 "	"$768,165 "	"$21,425 "	"$142,429 "	"$158,476 "	"$331,771 "	"$258,631 "	"$737,173 "	"$2,063,639 "	"$2,063,639 "	--	--	--
"Central Washington University (Ellensburg, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Cheyney Univ. of Pennsylvania (Cheyney, PA) "	--	--	--	--	--	--	--	--	--	6.00%	--	--	100.00%	28.10%	"9,368"	561	--	--	--	--	--	--	--	"$185,738 "	"$26,202 "	"$62,600 "	--	--	--	--	--	"$507,051 "	"$523,026 "	"$523,026 "	--	--	--
"Chicago State University (Chicago, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Citadel Military College of South Carolina (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Clarion Univ. of Pennsylvania (Clarion, PA) "	"$16,298 "	$0 	$0 	"$1,206 "	$0 	"$18,462 "	"$20,799 "	"$24,964 "	"$558,463 "	9.80%	--	--	78.50%	37.50%	"44,053"	"4,304"	"$1,085,644 "	441	"$93,395 "	0	$0 	441	"$93,395 "	"$450,625 "	"$12,568 "	"$479,539 "	$0 	"$72,039 "	"$37,172 "	"$225,573 "	"$101,085 "	"$1,475,819 "	"$2,893,100 "	"$2,914,973 "	--	--	--
"College of Charleston (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"College of New Jersey (Ewing, NJ) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Columbus State University (Columbus, GA) "	--	--	--	--	--	--	--	--	"$382,042 "	7.20%	7.10%	7.20%	65.70%	7.90%	"23,338"	"1,677"	"$398,770 "	312	"$99,595 "	2	"$17,000 "	314	"$116,595 "	"$683,499 "	"$10,563 "	"$2,844,498 "	--	"$2,257,916 "	--	"$665,949 "	--	"$4,147,484 "	"$5,034,792 "	"$5,034,792 "	--	--	--
Coppin State University (Baltimore) 	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Cornerstone University (Grand Rapids, MI) "	$20 	$0 	$0 	$0 	"$1,035 "	"$29,231 "	"$4,510 "	"$90,383 "	"$156,521 "	3.80%	--	3.10%	29.60%	10.80%	"16,137"	619	"$185,884 "	80	"$16,163 "	0	$0 	80	"$16,163 "	"$269,313 "	"$30,351 "	"$443,800 "	$0 	"$33,450 "	"$1,883 "	"$176,488 "	"$35,756 "	"$948,446 "	"$1,718,867 "	"$1,718,867 "	--	--	--
"CUNY-Bernard M. Baruch College (New York, NY) "	"$643,747 "	"$50,000 "	$0 	"$16,725 "	$0 	"$221,924 "	$0 	$0 	"$2,572,653 "	4.80%	--	4.80%	48.30%	29.50%	"99,917"	"4,785"	"$4,689,693 "	0	$0 	0	$0 	0	$0 	"$3,285,687 "	"$10,708 "	"$6,731,103 "	$0 	"$3,773,853 "	$0 	"$3,195,207 "	$0 	"$10,402,480 "	"$15,919,000 "	"$15,944,684 "	--	--	--
"CUNY-Brooklyn College (Brooklyn, NY) "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$2,606,917 "	"$3,414,568 "	6.40%	--	6.40%	100.00%	67.70%	"99,968"	"6,442"	"$4,119,008 "	--	--	--	--	--	--	"$236,927 "	"$11,899 "	"$816,675 "	$0 	"$816,675 "	$0 	"$236,927 "	$0 	"$5,382,186 "	"$6,086,626 "	"$6,086,626 "	--	--	--
"CUNY-City College of NY (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"CUNY-College of Staten Island (Staten Island, NY) "	--	--	--	--	--	--	--	--	--	1.70%	--	--	68.80%	5.60%	"53,997"	892	--	--	--	--	--	--	--	"$694,956 "	"$10,094 "	"$223,935 "	--	--	--	--	--	"$1,466,027 "	"$1,466,027 "	"$1,466,027 "	--	--	--
"CUNY-Herbert H. Lehman College (Bronx, NY) "	--	--	--	--	--	--	--	--	--	4.00%	--	--	66.10%	11.10%	"47,124"	"1,879"	--	--	--	--	--	--	--	"$187,500 "	"$9,896 "	"$441,322 "	--	--	--	--	--	"$3,412,624 "	"$4,080,564 "	"$4,080,564 "	--	--	--
"CUNY-Hunter College (New York, NY) "	"$379,097 "	"$210,000 "	$0 	"$7,550 "	$0 	"$240,095 "	$0 	$0 	"$2,098,487 "	5.40%	--	5.10%	68.80%	16.80%	"136,761"	"7,409"	"$2,952,333 "	--	--	--	--	--	--	"$857,892 "	"$6,678 "	"$3,746,653 "	"$13,550 "	"$3,107,100 "	$0 	"$857,242 "	"$23,678 "	"$15,724,846 "	"$17,558,631 "	"$17,558,631 "	--	--	--
"CUNY-John Jay College (New York, NY) "	$0 	$0 	$0 	$0 	$0 	"$17,729 "	$0 	$0 	"$44,568 "	2.10%	1.80%	2.10%	100.00%	0.90%	"31,794"	656	"$44,568 "	267	"$49,652 "	0	$0 	267	"$49,652 "	"$753,739 "	"$10,334 "	"$1,637,217 "	$0 	"$1,637,217 "	"$18,426 "	"$753,739 "	"$49,652 "	"$4,975,353 "	"$4,975,353 "	"$4,975,353 "	--	--	--
"CUNY-Queens College (Flushing, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Delaware State University (Dover, DE) "	--	--	--	--	--	--	--	--	--	4.70%	--	--	100.00%	14.10%	"13,213"	620	--	--	--	--	--	--	--	"$202,000 "	"$26,963 "	"$335,991 "	--	--	--	--	--	"$944,512 "	"$952,130 "	"$952,130 "	--	--	--
"Delta State University (Cleveland, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Central University (Ada, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Stroudsburg Univ. of Pennsylvania (East Stroudsburg, PA) "	$825 	$0 	$0 	$921 	$0 	"$153,163 "	$0 	"$7,710 "	"$318,356 "	10.00%	10.70%	8.40%	99.40%	56.90%	"36,144"	"3,625"	"$1,033,818 "	--	--	--	--	--	--	"$229,413 "	"$12,742 "	"$92,800 "	$0 	"$25,200 "	$0 	"$134,166 "	$0 	"$617,348 "	"$1,816,886 "	"$1,816,886 "	--	--	--
"Eastern Connecticut State University (Willimantic, CT) "	$0 	$0 	$0 	$0 	$0 	"$13,401 "	"$16,940 "	$360 	"$64,108 "	4.90%	5.00%	2.80%	76.60%	6.20%	"28,634"	"1,417"	"$135,188 "	510	"$284,086 "	12	"$20,282 "	522	"$304,368 "	"$546,888 "	"$15,038 "	"$451,318 "	"$11,535 "	"$314,080 "	"$54,290 "	"$519,505 "	"$284,086 "	"$1,392,863 "	"$2,178,902 "	"$2,178,902 "	--	--	--
"Eastern Illinois University (Charleston, IL) "	"$278,178 "	$604 	$5 	"$3,050 "	$475 	"$84,320 "	"$85,020 "	"$4,527 "	"$491,991 "	7.10%	--	--	100.00%	38.00%	"75,975"	"5,388"	"$817,437 "	986	"$380,187 "	0	$0 	986	"$380,187 "	"$409,396 "	"$14,266 "	"$143,044 "	$500 	"$86,844 "	"$94,702 "	"$347,701 "	"$315,812 "	"$1,309,878 "	"$2,148,591 "	"$2,148,591 "	--	--	--
"Eastern Kentucky University (Richmond, KY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Michigan University (Ypsilanti, MI) "	"$229,088 "	$0 	$200 	"$18,706 "	"$1,211 "	"$66,863 "	"$67,157 "	"$155,102 "	"$584,280 "	2.40%	2.30%	2.30%	93.30%	13.70%	"147,405"	"3,581"	"$846,727 "	593	"$258,066 "	28	"$4,116 "	621	"$262,182 "	"$564,948 "	"$13,420 "	"$1,255,001 "	"$21,421 "	"$709,636 "	"$102,578 "	"$507,133 "	"$258,065 "	"$4,438,634 "	"$6,188,429 "	"$6,188,429 "	--	--	--
"Eastern New Mexico University (Portales, NM) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Oregon State College (La Grande, OR) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Washington University (Cheney, WA) "	--	--	--	--	--	--	--	--	--	6.70%	--	--	88.20%	35.30%	"82,532"	"5,517"	--	--	--	--	--	--	--	"$359,159 "	"$15,432 "	"$200,253 "	--	--	--	--	--	"$1,214,267 "	"$1,687,483 "	"$1,687,483 "	--	--	--
"Edinboro Univ. of Pennsylvania (Edinboro, PA) "	$0 	$0 	$0 	"$4,953 "	$0 	"$11,207 "	"$111,505 "	"$32,445 "	"$355,269 "	7.80%	7.80%	6.40%	64.10%	19.10%	"48,186"	"3,743"	"$567,037 "	0	$0 	0	$0 	0	$0 	"$828,186 "	"$12,159 "	"$165,467 "	$600 	"$142,140 "	"$40,025 "	"$522,530 "	"$231,655 "	"$2,242,737 "	"$2,961,261 "	"$2,961,261 "	--	--	--
"Emporia State University (Emporia, KS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Evergreen State College (Olympia, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
