Public Master's / FY1999 																																					
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
"Augusta State University (Augusta, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Bloomsburg Univ. of Pennsylvania (Bloomsburg, PA) "	"$9,517 "	$0 	$0 	"$1,471 "	$260 	"$119,408 "	$0 	"$70,741 "	"$455,467 "	15.60%	--	14.90%	100.00%	--	"38,230"	"5,946"	"$745,821 "	0	$0 	1	--	1	--	"$373,336 "	"$10,176 "	"$59,800 "	$0 	"$29,800 "	$0 	"$333,608 "	$0 	"$1,422,310 "	--	"$3,679,960 "	--	--	--
"Boise State University (Boise, ID) "	"$17,845 "	$0 	$0 	"$1,675 "	$0 	"$43,513 "	"$39,158 "	$0 	"$255,669 "	6.40%	--	4.90%	39.20%	--	"52,131"	"3,345"	"$516,335 "	230	"$208,458 "	288	--	518	--	"$6,844,460 "	"$8,418 "	"$2,664,540 "	"$8,985 "	"$2,048,530 "	"$106,916 "	"$245,443 "	"$220,853 "	"$2,700,320 "	--	"$10,479,200 "	--	--	--
"Bowie State University (Bowie, MD) "	--	--	--	--	--	--	--	--	"$6,131 "	--	--	--	--	--	--	49	"$12,051 "	0	$0 	0	--	0	--	"$149,089 "	"$7,844 "	"$25,500 "	--	"$25,500 "	--	"$86,345 "	--	"$157,373 "	--	"$249,934 "	--	--	--
"Bridgewater State College (Bridgewater, MA) "	"$2,880 "	$0 	$755 	$730 	"$1,810 "	"$147,034 "	$0 	"$59,696 "	"$517,859 "	10.20%	--	10.20%	100.00%	--	"42,664"	"4,332"	"$567,859 "	--	--	--	--	--	--	"$88,187 "	"$6,655 "	"$240,101 "	$0 	"$170,101 "	$0 	"$88,187 "	$0 	"$1,146,600 "	--	"$1,266,600 "	--	--	--
"California Polytechnic State University (San Luis Obispo, CA) "	"$900,843 "	$100 	"$7,875 "	"$3,593 "	$50 	"$20,030 "	"$153,190 "	"$101,119 "	"$1,206,490 "	9.90%	--	9.80%	35.00%	--	"95,346"	"9,434"	"$2,413,810 "	945	"$745,497 "	4	--	949	--	"$13,061,500 "	"$10,922 "	"$911,565 "	"$187,300 "	"$731,628 "	"$315,100 "	"$1,650,370 "	"$745,497 "	"$5,533,900 "	--	"$23,520,700 "	--	--	--
"California State Univ., Bakersfield (Bakersfield, CA) "	"$1,964 "	$0 	$0 	"$2,359 "	$0 	"$20,980 "	"$3,823 "	"$3,024 "	"$72,866 "	5.80%	5.60%	5.70%	100.00%	--	"14,574"	842	"$78,162 "	330	"$146,622 "	3	--	333	--	"$2,323,950 "	"$11,193 "	"$128,866 "	$825 	"$123,866 "	"$117,825 "	"$532,375 "	"$146,622 "	"$1,065,890 "	--	"$4,252,960 "	--	--	--
"California State Univ., Chico (Chico, CA) "	"$202,072 "	$0 	$0 	$630 	$0 	"$36,389 "	"$13,595 "	"$14,883 "	"$331,225 "	3.00%	2.90%	2.50%	100.00%	--	"101,846"	"3,100"	"$591,853 "	748	"$88,830 "	6	--	754	--	"$8,002,010 "	"$9,649 "	"$170,680 "	$0 	"$157,600 "	"$37,447 "	"$7,812,820 "	"$88,830 "	"$9,072,720 "	--	"$13,568,300 "	--	--	--
"California State Univ., Dominguez Hills (Carson, CA) "	$880 	$0 	$0 	$0 	$0 	"$5,320 "	$0 	$0 	"$114,938 "	9.90%	--	9.90%	34.60%	--	"42,000"	"4,154"	"$114,938 "	0	$0 	0	--	0	--	"$930,706 "	"$7,814 "	"$1,111,260 "	$0 	"$244,258 "	"$4,358 "	"$755,706 "	"$9,298 "	"$1,367,230 "	--	"$3,507,650 "	--	--	--
"California State Univ., East Bay (Hayward, CA) "	"$21,615 "	$0 	$0 	$0 	$0 	"$4,020 "	$0 	$0 	"$85,575 "	1.40%	--	--	32.30%	--	"65,921"	894	"$105,575 "	--	--	--	--	--	--	"$280,197 "	"$9,516 "	"$479,244 "	$0 	"$295,749 "	$0 	"$255,172 "	$0 	"$721,409 "	--	"$1,003,820 "	--	--	--
"California State Univ., Fresno (Fresno, CA) "	"$1,177,820 "	$50 	$0 	"$7,705 "	$545 	"$27,565 "	"$637,213 "	"$83,964 "	"$2,088,680 "	6.90%	4.70%	6.70%	94.70%	--	"79,988"	"5,523"	"$3,310,670 "	188	"$1,519,120 "	6	--	194	--	"$6,896,870 "	"$9,425 "	"$1,816,690 "	"$152,773 "	"$429,018 "	"$899,459 "	"$4,902,540 "	"$5,911,500 "	"$14,582,800 "	--	"$24,923,800 "	--	--	--
"California State Univ., Fullerton (Fullerton, CA) "	"$37,599 "	$0 	$0 	$996 	$0 	"$186,639 "	"$24,881 "	"$14,933 "	"$420,113 "	6.40%	--	--	29.10%	--	"57,821"	"3,728"	"$882,964 "	--	--	--	--	--	--	"$2,194,630 "	"$7,576 "	"$1,474,930 "	"$15,050 "	"$1,439,720 "	"$48,814 "	"$2,167,930 "	"$160,361 "	"$6,421,300 "	--	"$8,546,110 "	--	--	--
"California State Univ., Humboldt (Arcata, CA) "	"$24,561 "	$0 	"$2,563 "	"$1,420 "	$0 	"$7,878 "	"$13,584 "	$0 	"$115,437 "	8.10%	--	8.10%	81.90%	--	"29,295"	"2,361"	"$122,765 "	741	"$368,003 "	0	--	"2,354"	--	"$312,815 "	"$14,752 "	"$619,135 "	$0 	"$574,135 "	"$26,410 "	"$310,815 "	"$368,003 "	"$2,363,837 "	--	"$4,494,786 "	--	--	--
"California State Univ., Long Beach (Long Beach, CA) "	"$178,035 "	$0 	$0 	"$25,376 "	$0 	"$55,297 "	"$148,071 "	"$63,212 "	"$1,148,290 "	8.10%	7.80%	7.80%	27.30%	--	"148,741"	"12,030"	"$1,739,210 "	"1,194"	"$820,740 "	13	--	"1,207"	--	"$15,903,400 "	"$8,044 "	"$1,190,640 "	$300 	"$1,085,930 "	"$346,889 "	"$15,794,400 "	"$820,740 "	"$22,606,500 "	--	"$26,781,200 "	--	--	--
"California State Univ., Los Angeles (Los Angeles, CA) "	"$5,575 "	$0 	$0 	$375 	$0 	"$5,786 "	"$1,430 "	"$9,785 "	"$171,909 "	4.40%	--	4.20%	36.30%	--	"76,823"	"3,359"	"$325,230 "	158	"$143,920 "	0	--	158	--	"$6,465,370 "	"$8,725 "	"$1,221,950 "	$0 	"$1,048,050 "	"$110,691 "	"$1,095,540 "	"$143,920 "	"$2,812,080 "	--	"$9,842,050 "	--	--	--
"California State Univ., Northridge (Northridge, CA) "	"$334,599 "	$0 	"$5,200 "	"$17,519 "	"$3,154 "	"$26,912 "	"$39,322 "	"$37,132 "	"$496,048 "	2.90%	--	2.90%	70.00%	--	"116,271"	"3,385"	"$554,089 "	"1,344"	"$274,705 "	0	--	"1,344"	--	"$2,734,660 "	"$11,056 "	"$582,809 "	"$28,180 "	"$580,109 "	"$102,806 "	"$2,698,840 "	"$274,704 "	"$4,617,270 "	--	"$5,023,260 "	--	--	--
"California State Univ., Pomona (Pomona, CA) "	"$178,894 "	$921 	$0 	$500 	"$52,158 "	"$55,419 "	$0 	"$40,960 "	"$495,460 "	6.20%	--	5.40%	23.40%	--	"79,006"	"4,891"	"$678,564 "	509	"$185,572 "	0	--	509	--	"$3,603,150 "	"$8,726 "	"$1,833,560 "	$0 	"$468,897 "	$0 	"$2,769,050 "	$0 	"$4,624,240 "	--	"$9,658,910 "	--	--	--
"California State Univ., Sacramento (Sacramento, CA) "	"$132,565 "	$0 	$0 	$535 	$0 	"$72,464 "	"$5,440 "	"$36,272 "	"$345,508 "	3.20%	3.10%	3.00%	13.60%	--	"115,267"	"3,692"	"$592,424 "	10	"$125,506 "	0	--	10	--	"$4,162,820 "	"$8,685 "	"$713,390 "	"$118,086 "	"$447,202 "	"$1,760 "	"$584,948 "	"$125,506 "	"$3,194,970 "	--	"$7,979,600 "	--	--	--
"California State Univ., San Bernardino (San Bernardino, CA) "	"$6,204 "	$0 	$0 	$450 	$425 	"$19,336 "	$0 	"$6,282 "	"$33,517 "	1.10%	1.10%	--	0.00%	--	"34,334"	364	"$47,742 "	--	--	--	--	--	--	"$447,674 "	"$9,660 "	"$269,483 "	$0 	"$13,700 "	$0 	"$389,734 "	$0 	"$1,896,120 "	--	"$2,242,080 "	--	--	--
"California State Univ., San Marcos (San Marcos, CA) "	"$23,775 "	$0 	$0 	$281 	$0 	$180 	$0 	"$1,010 "	"$30,027 "	5.00%	5.80%	4.90%	100.00%	--	"4,903"	245	"$33,003 "	8	"$185,129 "	50	--	58	--	"$409,115 "	"$10,682 "	"$286,829 "	"$5,359 "	"$282,829 "	"$2,500 "	"$378,115 "	"$172,629 "	"$1,131,500 "	--	"$3,139,200 "	--	--	--
"California State Univ., Sonoma (Rohnert Park, CA) "	"$36,149 "	$0 	$0 	$50 	$240 	"$3,083 "	"$5,584 "	"$1,040 "	"$54,796 "	3.00%	3.10%	2.50%	78.20%	--	"31,460"	944	"$686,689 "	948	"$65,372 "	52	--	"1,000"	--	"$391,068 "	"$9,602 "	"$4,147,430 "	"$1,600 "	"$2,734,310 "	"$15,153 "	"$291,108 "	"$65,372 "	"$3,797,760 "	--	"$8,761,130 "	--	--	--
"California State Univ., Stanislaus (Turlock, CA) "	"$5,956 "	$0 	$0 	$100 	"$1,106 "	"$10,212 "	$0 	"$1,220 "	"$92,619 "	5.20%	--	5.00%	17.40%	--	"25,670"	"1,329"	"$155,054 "	66	"$30,300 "	0	--	66	--	"$1,252,470 "	"$10,760 "	"$416,433 "	$0 	"$416,433 "	"$113,778 "	"$1,030,620 "	"$169,916 "	"$3,422,100 "	--	"$4,285,990 "	--	--	--
"California Univ. of Pennsylvania (California, PA) "	"$17,982 "	$0 	$0 	$0 	"$4,250 "	"$10,370 "	"$16,506 "	"$6,597 "	"$159,447 "	11.50%	12.00%	9.50%	100.00%	--	"33,174"	"3,831"	"$388,020 "	76	"$24,074 "	6	--	82	--	"$266,212 "	"$11,073 "	"$1,393,500 "	$0 	"$470,000 "	"$2,950 "	"$185,561 "	"$24,074 "	"$865,231 "	--	"$2,206,170 "	--	--	--
"Cameron University (Lawton, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Castleton State College (Castleton, VT) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Central Connecticut State University (New Britain, CT) "	"$5,525 "	$0 	"$16,168 "	$0 	$0 	$500 	"$5,815 "	"$4,410 "	"$62,894 "	6.10%	6.20%	2.30%	51.90%	--	"57,779"	"3,520"	"$249,665 "	88	"$63,966 "	359	--	447	--	"$213,388 "	"$9,085 "	"$52,000 "	$0 	"$12,000 "	"$34,064 "	"$169,371 "	"$63,966 "	"$302,664 "	--	"$800,659 "	--	--	--
"Central Washington University (Ellensburg, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Cheyney Univ. of Pennsylvania (Cheyney, PA) "	$0 	$0 	$0 	"$2,685 "	$0 	"$29,340 "	$430 	"$9,037 "	"$41,492 "	0.60%	0.60%	0.40%	15.20%	28.50%	"13,150"	73	"$268,302 "	26	"$1,300 "	0	--	26	--	"$313,807 "	"$15,058 "	"$311,125 "	$0 	"$209,700 "	$0 	"$248,275 "	"$1,300 "	"$523,799 "	"$941,630 "	"$941,630 "	--	--	--
"Chicago State University (Chicago, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Citadel Military College of South Carolina (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Clarion Univ. of Pennsylvania (Clarion, PA) "	"$5,953 "	$0 	$0 	$913 	$300 	"$9,116 "	"$11,806 "	"$3,982 "	"$113,870 "	12.20%	--	4.10%	47.40%	--	"33,209"	"4,058"	"$558,628 "	0	"$26,764 "	0	--	0	--	"$559,494 "	"$11,811 "	"$131,250 "	$0 	"$46,200 "	"$6,485 "	"$288,513 "	"$37,264 "	"$621,544 "	--	"$3,152,890 "	--	--	--
"College of Charleston (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"College of New Jersey (Ewing, NJ) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Columbus State University (Columbus, GA) "	--	--	--	--	--	--	--	--	--	10.50%	--	10.50%	82.00%	--	"18,993"	"2,001"	"$103,054 "	--	--	--	--	--	--	"$715,608 "	"$13,516 "	"$1,946,360 "	--	--	--	--	--	"$3,311,390 "	--	"$8,976,540 "	--	--	--
Coppin State University (Baltimore) 	--	--	--	--	--	--	--	--	"$141,493 "	9.90%	--	9.90%	32.10%	--	"12,461"	"1,232"	"$141,493 "	0	$0 	0	--	0	--	"$512,600 "	"$8,342 "	"$157,729 "	--	"$74,396 "	--	"$512,275 "	--	"$947,745 "	--	"$1,123,430 "	--	--	--
"Cornerstone University (Grand Rapids, MI) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"CUNY-Bernard M. Baruch College (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"CUNY-Brooklyn College (Brooklyn, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"CUNY-City College of NY (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"CUNY-College of Staten Island (Staten Island, NY) "	--	--	--	--	--	--	--	--	--	1.00%	--	--	96.10%	--	"38,025"	390	"$23,566 "	--	--	--	--	--	--	"$33,175 "	"$7,485 "	"$8,150 "	--	--	--	--	--	"$186,219 "	--	"$287,719 "	--	--	--
"CUNY-Herbert H. Lehman College (Bronx, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"CUNY-Hunter College (New York, NY) "	"$176,577 "	$0 	$0 	$0 	$0 	"$547,035 "	$0 	"$1,178,420 "	"$3,195,800 "	12.50%	--	4.70%	100.00%	--	"73,264"	"9,133"	"$2,317,940 "	--	--	--	--	--	--	"$291,025 "	"$4,469 "	"$5,110,610 "	$0 	"$5,110,610 "	$0 	"$231,025 "	$0 	"$9,878,650 "	--	"$11,985,800 "	--	--	--
"CUNY-John Jay College (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"CUNY-Queens College (Flushing, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Delaware State University (Dover, DE) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Delta State University (Cleveland, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Central University (Ada, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Stroudsburg Univ. of Pennsylvania (East Stroudsburg, PA) "	"$11,709 "	"$1,000 "	$0 	$574 	$0 	"$75,848 "	$0 	"$7,540 "	"$254,388 "	19.40%	--	--	94.80%	--	"27,014"	"5,233"	"$482,340 "	--	--	--	--	--	--	"$766,808 "	"$10,534 "	"$58,270 "	$0 	"$51,270 "	$0 	"$733,740 "	$0 	"$1,303,010 "	--	"$1,628,370 "	--	--	--
"Eastern Connecticut State University (Willimantic, CT) "	--	--	--	--	--	--	--	--	--	6.00%	--	5.70%	95.60%	--	"15,237"	918	"$64,731 "	0	$0 	0	--	0	--	"$303,625 "	"$9,127 "	"$10,700 "	--	--	--	--	--	"$299,486 "	--	"$685,966 "	--	--	--
"Eastern Illinois University (Charleston, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Kentucky University (Richmond, KY) "	"$76,903 "	$0 	$25 	"$1,503 "	$500 	"$97,722 "	"$58,447 "	"$184,035 "	"$431,058 "	13.20%	--	13.10%	56.90%	--	"58,499"	"7,733"	"$2,601,010 "	"1,125"	"$301,603 "	40	--	"1,165"	--	"$1,510,950 "	"$9,616 "	"$190,612 "	$0 	"$163,609 "	"$78,338 "	"$740,428 "	"$301,603 "	"$2,403,520 "	--	"$6,056,190 "	--	--	--
"Eastern Michigan University (Ypsilanti, MI) "	"$202,176 "	$0 	$0 	"$64,319 "	$250 	"$20,395 "	"$61,445 "	"$40,797 "	"$523,667 "	6.00%	--	5.00%	90.20%	--	"101,087"	"6,052"	"$1,009,600 "	778	"$256,982 "	238	--	"1,016"	--	"$3,689,980 "	"$8,301 "	"$608,123 "	$0 	"$456,565 "	"$104,120 "	"$3,422,820 "	"$256,981 "	"$5,280,650 "	--	"$6,621,470 "	--	--	--
"Eastern New Mexico University (Portales, NM) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Oregon State College (La Grande, OR) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Washington University (Cheney, WA) "	$785 	$0 	$0 	"$4,492 "	"$5,580 "	"$592,300 "	"$17,045 "	"$1,453 "	"$715,229 "	6.60%	--	6.50%	72.70%	--	"77,225"	"5,112"	"$940,011 "	323	"$40,971 "	5	--	328	--	"$603,365 "	"$10,304 "	"$70,140 "	$0 	"$52,490 "	"$8,895 "	"$591,406 "	"$40,971 "	"$1,624,930 "	--	"$2,232,690 "	--	--	--
"Edinboro Univ. of Pennsylvania (Edinboro, PA) "	$0 	$0 	$0 	$660 	$0 	"$13,296 "	"$12,990 "	"$2,095 "	"$136,771 "	8.50%	--	8.20%	82.40%	--	"41,086"	"3,475"	"$161,898 "	210	"$28,466 "	0	--	210	--	"$547,976 "	"$10,712 "	"$175,863 "	"$1,000 "	"$19,813 "	$0 	"$121,866 "	"$28,466 "	"$422,455 "	--	"$1,142,900 "	--	--	--
"Emporia State University (Emporia, KS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Evergreen State College (Olympia, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Fayetteville State University (Fayetteville, NC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Ferris State University (Big Rapids, MI) "	"$167,583 "	$0 	$0 	"$3,423 "	$0 	"$17,267 "	"$49,138 "	"$31,832 "	"$302,514 "	4.60%	--	4.50%	100.00%	--	"61,003"	"2,805"	"$761,927 "	--	--	--	--	--	--	"$3,553,230 "	"$15,276 "	"$296,515 "	"$14,100 "	"$257,965 "	"$25,717 "	"$413,115 "	"$155,922 "	"$1,522,450 "	--	"$6,458,430 "	--	--	--
"Fitchburg State College (Fitchburg, MA) "	"$6,761 "	$0 	$0 	$120 	$0 	"$3,328 "	$0 	$0 	"$277,546 "	16.50%	--	16.30%	85.00%	--	"23,172"	"3,832"	"$347,437 "	0	$0 	0	--	0	--	"$116,619 "	"$7,071 "	"$12,200 "	$0 	"$5,000 "	$0 	"$55,999 "	$0 	"$424,672 "	--	"$590,657 "	--	--	--
"Florida Gulf Coast University (Ft. Myers, FL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Fort Hays State University (Hays, KS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Fort Valley State University (Fort Valley, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Framingham State College (Framingham, MA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Francis Marion College (Florence, SC) "	$0 	$0 	$0 	$0 	$0 	"$35,010 "	"$31,865 "	"$14,166 "	"$81,041 "	9.00%	9.40%	7.50%	85.60%	--	"12,949"	"1,169"	"$100,655 "	2	"$13,000 "	0	--	2	--	"$344,045 "	--	"$75,540 "	$0 	"$75,540 "	$0 	"$344,045 "	"$82,834 "	"$1,023,830 "	--	"$1,867,550 "	--	--	--
"Frostburg State University (Frostburg, MD) "	"$11,914 "	$0 	$0 	"$9,616 "	$175 	"$1,350 "	"$2,957 "	"$2,255 "	"$142,930 "	14.70%	--	14.50%	68.60%	--	"21,661"	"3,180"	"$316,910 "	63	"$15,025 "	0	--	63	--	"$229,702 "	"$8,671 "	"$15,099 "	$0 	"$15,099 "	"$9,619 "	"$191,374 "	"$22,357 "	"$647,693 "	--	"$915,335 "	--	--	--
"Georgia College & State University (Milledgeville, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Georgia Southwestern State University (Americus, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Governors State University (Park Forest South, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Grambling State University (Grambling, LA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
