Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 			Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
												# of Record 									($) 														(#) 	(#) 	
"Adams State College (Alamosa, CO) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama Agricultural and Mechanical University (Normal, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama State University (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Albany State University (Albany, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alcorn State University (Lorman, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Angelo State University (San Angelo, TX) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"California State Univ., Northridge (Northridge, CA) "	"$397,755 "	$0 	"$1,100 "	"$417,122 "	$0 	"$34,155 "	"$39,691 "	"$7,948 "	"$987,332 "	2.10%	--	2.10%	100.00%	9.30%	"145,000"	"3,010"	"$1,433,016 "	994	"$292,138 "	0	$0 	994	"$292,138 "	"$2,185,430 "	"$10,788 "	"$10,310,516 "	"$18,112 "	"$1,949,171 "	"$141,761 "	"$1,444,130 "	"$293,162 "	"$5,530,866 "	"$15,338,959 "	"$15,338,959 "	--	--	--
"California State Univ., Pomona (Pomona, CA) "	"$579,500 "	$600 	$0 	$225 	"$72,804 "	"$62,158 "	"$4,969 "	"$72,410 "	"$1,060,784 "	5.90%	--	5.90%	29.40%	27.90%	"95,494"	"5,634"	"$2,209,063 "	0	$0 	0	$0 	0	$0 	"$1,408,035 "	"$11,039 "	"$583,325 "	$0 	"$569,775 "	"$18,612 "	"$1,339,155 "	"$36,350 "	"$3,970,736 "	"$7,917,392 "	"$7,917,392 "	--	--	--
"California State Univ., Sacramento (Sacramento, CA) "	"$88,134 "	$480 	$0 	$475 	$0 	"$119,780 "	"$37,712 "	"$35,832 "	"$352,248 "	1.40%	1.40%	1.30%	25.90%	7.00%	"153,594"	"2,116"	"$451,640 "	0	$0 	0	$0 	0	$0 	"$953,240 "	"$11,210 "	"$421,381 "	"$5,000 "	"$295,399 "	"$9,897 "	"$803,001 "	"$70,740 "	"$5,049,824 "	"$6,445,859 "	"$6,480,763 "	--	--	--
"California State Univ., San Bernardino (San Bernardino, CA) "	"$67,478 "	$0 	$0 	$400 	$488 	"$40,232 "	"$1,445 "	"$35,518 "	"$149,295 "	2.90%	--	2.90%	18.70%	6.80%	"52,131"	"1,517"	"$181,255 "	0	$0 	0	$0 	0	$0 	"$665,671 "	"$10,101 "	"$595,324 "	$550 	"$355,479 "	"$3,950 "	"$574,204 "	"$10,680 "	"$1,691,136 "	"$2,669,884 "	"$2,669,884 "	--	--	--
"California State Univ., San Marcos (San Marcos, CA) "	"$18,284 "	$0 	$0 	"$1,080 "	$90 	"$13,240 "	"$1,055 "	"$2,465 "	"$43,593 "	1.90%	--	1.80%	83.10%	2.70%	"14,495"	270	"$46,198 "	42	"$76,555 "	0	$0 	42	"$76,555 "	"$816,245 "	"$11,752 "	"$457,910 "	$0 	"$450,910 "	"$55,375 "	"$795,945 "	"$76,555 "	"$1,663,799 "	"$1,723,107 "	"$1,723,107 "	--	--	--
"California State Univ., Sonoma (Rohnert Park, CA) "	"$23,211 "	"$3,181 "	$20 	"$2,565 "	$0 	"$20,607 "	"$12,077 "	$500 	"$116,092 "	1.20%	1.10%	1.10%	2.20%	1.10%	"38,812"	468	"$173,978 "	--	--	--	--	--	--	"$889,024 "	"$13,975 "	"$2,027,414 "	$100 	"$1,913,414 "	"$47,925 "	"$785,281 "	"$238,774 "	"$5,233,293 "	"$16,041,839 "	"$16,085,357 "	--	--	--
"California State Univ., Stanislaus (Turlock, CA) "	"$7,785 "	$0 	$0 	$600 	$0 	"$11,595 "	"$4,863 "	"$5,030 "	"$98,130 "	3.40%	4.50%	3.30%	58.70%	4.20%	"36,954"	"1,244"	"$100,343 "	430	"$163,815 "	0	$0 	430	"$163,815 "	"$950,119 "	"$11,238 "	"$498,843 "	"$1,440 "	"$479,343 "	"$109,692 "	"$897,478 "	"$163,775 "	"$2,038,260 "	"$2,392,601 "	"$2,392,601 "	--	--	--
"California Univ. of Pennsylvania (California, PA) "	"$13,835 "	$0 	$0 	$193 	$50 	"$42,996 "	"$19,244 "	"$9,453 "	"$157,122 "	6.00%	--	5.40%	89.70%	18.90%	"40,800"	"2,434"	"$593,412 "	241	"$473,176 "	0	$0 	241	"$473,176 "	"$666,025 "	"$13,590 "	"$1,345,695 "	"$22,120 "	"$635,195 "	"$181,377 "	"$592,574 "	"$488,176 "	"$1,774,583 "	"$3,142,291 "	"$3,142,291 "	--	--	--
"Cameron University (Lawton, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Castleton State College (Castleton, VT) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
