Public Master's / FY2001 																																					
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
"Augusta State University (Augusta, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Bloomsburg Univ. of Pennsylvania (Bloomsburg, PA) "	"$6,336 "	$0 	$0 	"$2,712 "	$0 	"$47,992 "	$0 	"$32,751 "	"$338,906 "	16.20%	--	9.30%	94.70%	--	"39,662"	"6,406"	"$1,197,944 "	0	$0 	0	--	--	--	"$643,245 "	"$11,354 "	"$49,100 "	$0 	"$18,100 "	$0 	"$201,602 "	$0 	"$957,261 "	--	"$2,797,646 "	--	--	--
"Boise State University (Boise, ID) "	"$89,873 "	$0 	$0 	"$1,385 "	$0 	"$60,273 "	"$43,000 "	$0 	"$351,337 "	7.20%	--	5.20%	60.00%	--	"58,344"	"4,192"	"$764,317 "	506	"$833,394 "	165	--	--	--	"$1,228,747 "	"$8,858 "	"$1,585,473 "	"$10,217 "	"$1,083,170 "	"$652,936 "	"$783,329 "	"$833,395 "	"$2,507,803 "	--	"$4,808,029 "	--	--	--
"Bowie State University (Bowie, MD) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Bridgewater State College (Bridgewater, MA) "	--	--	--	--	--	--	--	--	"$549,190 "	9.40%	10.10%	7.60%	75.20%	--	"41,487"	"3,917"	"$564,190 "	0	$0 	0	--	--	--	"$233,135 "	"$7,812 "	"$198,115 "	--	"$148,115 "	--	"$233,135 "	$0 	"$1,158,076 "	--	"$1,223,076 "	--	--	--
"California Polytechnic State University (San Luis Obispo, CA) "	"$1,228,533 "	"$12,500 "	"$7,900 "	"$1,670 "	$256 	"$32,015 "	"$322,926 "	"$278,095 "	"$1,899,654 "	11.00%	--	10.90%	68.80%	--	"97,619"	"10,782"	"$7,302,837 "	"1,027"	"$797,013 "	10	--	--	--	"$8,324,674 "	"$14,210 "	"$6,123,027 "	"$171,290 "	"$2,225,300 "	"$219,275 "	"$3,494,722 "	"$797,013 "	"$9,273,859 "	--	"$43,162,232 "	--	--	--
"California State Univ., Bakersfield (Bakersfield, CA) "	"$2,669 "	$0 	$0 	"$3,104 "	$0 	"$20,784 "	"$4,136 "	"$2,234 "	"$77,223 "	5.40%	6.40%	4.50%	74.40%	--	"17,775"	953	"$137,554 "	160	"$60,906 "	--	--	--	--	"$1,647,264 "	"$12,814 "	"$199,520 "	"$3,000 "	"$182,770 "	"$39,428 "	"$443,749 "	"$60,906 "	"$967,641 "	--	"$2,490,865 "	--	--	--
"California State Univ., Chico (Chico, CA) "	"$133,266 "	$0 	$0 	$0 	"$1,278 "	"$64,701 "	"$6,670 "	"$9,057 "	"$290,425 "	4.40%	4.50%	3.20%	100.00%	--	"84,633"	"3,753"	"$1,717,217 "	332	"$42,608 "	3	--	--	--	"$1,526,388 "	"$12,568 "	"$540,910 "	$500 	"$454,950 "	"$16,743 "	"$1,143,875 "	"$42,608 "	"$2,323,889 "	--	"$4,863,379 "	--	--	--
"California State Univ., Dominguez Hills (Carson, CA) "	"$3,373 "	$0 	$0 	$0 	$0 	"$4,485 "	$0 	$0 	"$7,858 "	0.10%	--	0.00%	100.00%	--	"41,000"	55	"$26,517 "	0	$0 	0	--	--	--	"$440,407 "	"$9,459 "	"$330,329 "	"$1,000 "	"$280,329 "	$0 	"$383,307 "	"$95,410 "	"$964,201 "	--	"$1,148,028 "	--	--	--
"California State Univ., East Bay (Hayward, CA) "	"$122,694 "	$0 	$0 	$0 	$0 	"$1,780 "	$0 	$0 	"$162,264 "	2.60%	--	1.70%	55.20%	--	"39,930"	"1,036"	"$209,017 "	--	--	--	--	--	--	"$390,477 "	"$12,830 "	"$178,125 "	$0 	"$113,125 "	$0 	"$295,647 "	$0 	"$843,322 "	--	"$1,122,298 "	--	--	--
"California State Univ., Fresno (Fresno, CA) "	"$102,700 "	$0 	$200 	"$20,300 "	$600 	"$24,700 "	"$1,131,700 "	"$359,600 "	"$1,676,800 "	1.30%	1.20%	0.90%	45.80%	--	"207,506"	"2,611"	"$3,778,000 "	12	"$3,200 "	0	--	--	--	"$3,053,000 "	"$11,607 "	"$3,318,800 "	"$118,800 "	"$472,000 "	"$919,200 "	"$1,540,900 "	"$5,734,500 "	"$10,191,300 "	--	"$22,744,100 "	--	--	--
"California State Univ., Fullerton (Fullerton, CA) "	"$81,583 "	"$1,604 "	$0 	$733 	$0 	"$152,720 "	"$4,840 "	"$26,956 "	"$352,399 "	1.60%	--	1.50%	0.00%	--	"67,269"	"1,092"	"$443,751 "	143	"$40,173 "	0	--	--	--	"$725,451 "	"$8,826 "	"$730,883 "	$800 	"$703,758 "	"$19,698 "	"$647,541 "	"$40,173 "	"$3,500,619 "	--	"$3,849,551 "	--	--	--
"California State Univ., Humboldt (Arcata, CA) "	"$53,171 "	$0 	$0 	$0 	$0 	"$49,340 "	$0 	"$4,163 "	"$159,511 "	7.30%	--	7.30%	81.20%	--	"30,787"	"2,255"	"$168,483 "	"2,012"	"$247,213 "	0	--	--	--	"$875,653 "	"$12,567 "	"$440,532 "	$0 	"$405,532 "	"$38,109 "	"$714,653 "	"$247,213 "	"$2,762,399 "	--	"$3,174,240 "	--	--	--
"California State Univ., Long Beach (Long Beach, CA) "	"$135,294 "	$0 	$0 	"$41,669 "	$0 	"$61,359 "	"$209,128 "	"$53,030 "	"$1,364,163 "	7.40%	7.50%	7.30%	20.00%	--	"158,901"	"11,727"	"$4,107,087 "	"1,729"	"$997,949 "	7	--	--	--	"$10,924,757 "	"$10,941 "	"$2,098,961 "	$0 	"$2,055,536 "	"$528,313 "	"$10,251,400 "	"$1,010,798 "	"$18,101,647 "	--	"$26,627,400 "	--	--	--
"California State Univ., Los Angeles (Los Angeles, CA) "	"$17,975 "	"$1,625 "	$0 	$225 	"$7,000 "	"$63,572 "	"$10,582 "	"$5,085 "	"$283,732 "	--	--	--	--	--	--	--	--	374	"$286,548 "	0	--	--	--	"$6,222,327 "	"$10,023 "	"$2,279,325 "	"$29,650 "	"$1,123,925 "	"$192,750 "	"$963,454 "	"$286,548 "	"$3,116,318 "	--	"$9,952,705 "	--	--	--
"California State Univ., Northridge (Northridge, CA) "	"$154,997 "	$0 	"$3,075 "	"$21,126 "	$250 	"$30,556 "	"$37,962 "	"$19,488 "	"$296,890 "	2.10%	1.80%	2.00%	100.00%	--	"96,809"	"2,020"	"$425,465 "	"1,104"	"$241,747 "	0	--	--	--	"$7,633,463 "	"$11,864 "	"$1,691,789 "	"$4,856 "	"$1,501,917 "	"$133,224 "	"$2,019,708 "	"$241,746 "	"$5,037,788 "	--	"$12,350,518 "	--	--	--
"California State Univ., Pomona (Pomona, CA) "	"$212,524 "	"$2,949 "	$325 	"$2,843 "	"$121,886 "	"$69,136 "	"$1,530 "	"$72,722 "	"$799,013 "	5.90%	--	5.50%	42.50%	--	"83,194"	"4,870"	"$914,087 "	396	"$167,296 "	35	--	--	--	"$3,962,842 "	"$11,639 "	"$2,695,520 "	$0 	"$601,495 "	$0 	"$3,143,456 "	"$1,830 "	"$5,846,020 "	--	"$10,427,970 "	--	--	--
"California State Univ., Sacramento (Sacramento, CA) "	"$87,231 "	$0 	$0 	$100 	$0 	"$52,574 "	"$2,647 "	"$40,342 "	"$296,729 "	2.50%	2.70%	2.40%	32.30%	--	"131,443"	"3,276"	"$443,106 "	17	"$98,824 "	0	--	--	--	"$2,991,825 "	"$10,734 "	"$946,163 "	"$44,375 "	"$888,042 "	"$51,200 "	"$622,386 "	"$98,824 "	"$4,046,782 "	--	"$7,418,816 "	--	--	--
"California State Univ., San Bernardino (San Bernardino, CA) "	"$48,040 "	$0 	$0 	$685 	$800 	"$18,672 "	$0 	"$8,172 "	"$80,051 "	3.00%	--	2.90%	92.00%	--	"37,033"	"1,103"	"$102,031 "	--	--	--	--	--	--	"$490,261 "	"$10,302 "	"$2,624,000 "	$0 	"$320,500 "	$0 	"$390,357 "	$0 	"$1,421,687 "	--	"$4,483,103 "	--	--	--
"California State Univ., San Marcos (San Marcos, CA) "	$0 	$0 	$0 	$825 	$0 	$180 	"$1,640 "	$282 	"$6,027 "	2.40%	2.30%	0.20%	19.60%	--	"7,367"	177	"$20,891 "	134	"$122,957 "	0	--	--	--	"$1,014,206 "	"$11,293 "	"$88,530 "	"$1,000 "	"$54,530 "	"$48,469 "	"$951,437 "	"$122,957 "	"$1,420,407 "	--	"$2,806,730 "	--	--	--
"California State Univ., Sonoma (Rohnert Park, CA) "	"$24,518 "	$470 	$0 	$240 	$0 	"$5,658 "	"$5,359 "	"$1,020 "	"$55,508 "	1.50%	1.60%	1.10%	0.00%	--	"28,457"	441	"$371,604 "	870	"$85,219 "	99	--	--	--	"$1,416,433 "	"$12,466 "	"$4,733,914 "	"$1,000 "	"$2,909,914 "	"$15,438 "	"$1,100,560 "	"$66,015 "	"$5,537,494 "	--	"$10,818,657 "	--	--	--
"California State Univ., Stanislaus (Turlock, CA) "	"$7,472 "	$0 	$0 	$150 	"$1,300 "	"$7,845 "	"$10,111 "	"$3,961 "	"$84,707 "	4.70%	--	4.60%	0.00%	--	"24,458"	"1,147"	"$88,055 "	--	"$217,021 "	--	--	--	--	"$1,034,345 "	"$11,999 "	"$46,625 "	$0 	"$45,625 "	"$152,950 "	"$961,635 "	"$217,021 "	"$1,537,443 "	--	"$1,650,632 "	--	--	--
"California Univ. of Pennsylvania (California, PA) "	"$23,786 "	$0 	$0 	$0 	$456 	"$22,592 "	"$10,437 "	"$38,357 "	"$180,781 "	11.30%	--	10.80%	82.50%	--	"33,660"	"3,793"	"$384,401 "	62	"$8,578 "	8	--	--	--	"$259,147 "	"$11,731 "	"$2,791,048 "	$0 	"$1,169,548 "	"$115,606 "	"$233,972 "	"$126,534 "	"$1,750,139 "	--	"$3,664,637 "	--	--	--
"Cameron University (Lawton, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Castleton State College (Castleton, VT) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Central Connecticut State University (New Britain, CT) "	"$7,321 "	$0 	"$16,564 "	$0 	$0 	$975 	"$16,975 "	"$39,442 "	"$124,296 "	7.30%	--	3.30%	66.20%	--	"45,333"	"3,312"	"$305,531 "	158	"$113,264 "	466	--	--	--	"$471,062 "	"$10,121 "	"$279,999 "	"$25,000 "	"$29,167 "	"$94,702 "	"$195,827 "	"$139,654 "	"$381,299 "	--	"$1,384,164 "	--	--	--
"Central Washington University (Ellensburg, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Cheyney Univ. of Pennsylvania (Cheyney, PA) "	$0 	$0 	$0 	"$3,656 "	"$8,222 "	"$212,765 "	$350 	$0 	"$229,184 "	0.60%	0.70%	0.60%	63.70%	--	"14,131"	84	"$229,184 "	0	$0 	0	--	--	--	"$347,941 "	"$18,376 "	"$623,590 "	$0 	"$328,590 "	"$6,662 "	"$347,941 "	"$7,012 "	"$990,196 "	--	"$1,410,196 "	--	--	--
"Chicago State University (Chicago, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Citadel Military College of South Carolina (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Clarion Univ. of Pennsylvania (Clarion, PA) "	"$1,398 "	$0 	$0 	$76 	$316 	"$7,755 "	"$11,414 "	"$3,801 "	"$99,854 "	11.50%	--	4.60%	90.80%	--	"35,432"	"4,067"	"$1,902,289 "	153	"$28,053 "	0	--	--	--	"$356,476 "	"$12,740 "	"$74,975 "	$0 	"$66,025 "	"$5,408 "	"$218,265 "	"$38,553 "	"$729,924 "	--	"$3,219,756 "	--	--	--
"College of Charleston (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"College of New Jersey (Ewing, NJ) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Columbus State University (Columbus, GA) "	"$15,218 "	$0 	$0 	$0 	$0 	"$108,561 "	"$26,232 "	$0 	"$195,603 "	12.10%	10.90%	9.20%	100.00%	--	"16,900"	"2,039"	"$364,778 "	295	"$70,519 "	0	--	--	--	"$3,356,028 "	"$12,902 "	"$1,927,755 "	"$20,625 "	"$1,565,658 "	"$51,955 "	"$2,354,763 "	"$344,752 "	"$5,985,254 "	--	"$8,349,908 "	--	--	--
Coppin State University (Baltimore) 	--	--	--	--	--	--	--	--	$0 	18.60%	--	0.00%	33.60%	--	"13,700"	"2,552"	"$105,015 "	--	--	--	--	--	--	"$723,347 "	"$8,546 "	"$376,980 "	--	$0 	--	$0 	--	"$1,748,705 "	--	"$1,872,363 "	--	--	--
"Cornerstone University (Grand Rapids, MI) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"CUNY-Bernard M. Baruch College (New York, NY) "	"$640,895 "	"$10,000 "	$0 	$0 	$0 	"$14,865 "	$0 	$0 	"$1,353,820 "	4.00%	--	3.90%	80.30%	--	"71,025"	"2,850"	"$3,384,517 "	--	--	--	--	--	--	"$1,859,240 "	"$9,547 "	"$1,027,250 "	$0 	"$719,750 "	$0 	"$856,512 "	$0 	"$3,217,425 "	--	"$7,062,497 "	--	--	--
"CUNY-Brooklyn College (Brooklyn, NY) "	"$1,292,487 "	--	--	--	--	--	--	--	"$2,568,983 "	4.70%	--	3.60%	100.00%	--	"83,145"	"3,928"	"$3,450,280 "	--	--	--	--	--	--	"$393,658 "	"$9,615 "	"$250,604 "	--	"$54,272 "	--	"$172,273 "	$0 	"$3,088,972 "	--	"$4,597,959 "	--	--	--
"CUNY-City College of NY (New York, NY) "	--	--	--	--	--	--	--	--	--	8.70%	8.00%	0.00%	100.00%	--	"84,285"	"7,365"	"$1,073,590 "	--	--	--	--	--	--	"$1,647,322 "	--	"$2,374,199 "	--	--	--	--	--	"$4,992,561 "	--	"$13,213,375 "	--	--	--
"CUNY-College of Staten Island (Staten Island, NY) "	--	--	--	--	--	--	--	--	--	1.70%	--	1.70%	54.20%	--	"46,167"	771	"$43,477 "	0	$0 	0	--	--	--	"$200,570 "	"$8,113 "	"$25,250 "	--	--	--	--	--	"$499,005 "	--	"$598,241 "	--	--	--
"CUNY-Herbert H. Lehman College (Bronx, NY) "	$0 	$0 	$0 	"$1,100 "	$0 	$0 	$40 	"$3,142 "	"$10,531 "	0.80%	1.10%	0.70%	0.00%	--	"40,138"	306	"$32,956 "	7	"$2,045 "	0	--	--	--	"$19,972 "	--	"$1,783 "	$0 	"$1,783 "	$25 	"$19,972 "	"$2,045 "	"$73,611 "	--	"$157,988 "	--	--	--
"CUNY-Hunter College (New York, NY) "	"$987,114 "	$0 	$0 	"$41,567 "	$0 	"$398,220 "	$0 	$0 	"$2,313,901 "	14.00%	--	14.00%	98.70%	--	"76,000"	"10,650"	"$3,910,130 "	0	$0 	0	--	--	--	"$179,465 "	"$4,930 "	"$5,419,299 "	$0 	"$5,087,299 "	$0 	"$179,465 "	$0 	"$10,151,792 "	--	"$12,090,021 "	--	--	--
"CUNY-John Jay College (New York, NY) "	$0 	$0 	"$25,000 "	$0 	$0 	"$25,000 "	$0 	$0 	"$92,780 "	3.60%	3.40%	0.00%	96.80%	--	"27,178"	978	"$92,780 "	--	--	--	--	--	--	"$321,307 "	"$7,428 "	"$25,000 "	$0 	"$25,000 "	"$21,659 "	"$321,307 "	"$22,264 "	"$487,444 "	--	"$487,444 "	--	--	--
"CUNY-Queens College (Flushing, NY) "	--	--	--	--	--	--	--	--	"$1,638,211 "	--	--	--	--	--	0	0	$0 	--	--	--	--	--	--	"$501,697 "	--	"$761,805 "	--	"$746,805 "	--	"$319,464 "	--	"$4,265,061 "	--	"$5,922,302 "	--	--	--
"Delaware State University (Dover, DE) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Delta State University (Cleveland, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Central University (Ada, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Stroudsburg Univ. of Pennsylvania (East Stroudsburg, PA) "	"$8,247 "	$0 	$500 	"$1,415 "	$0 	"$78,425 "	$0 	"$4,310 "	"$235,836 "	19.70%	20.70%	18.30%	95.30%	--	"28,473"	"5,603"	"$665,025 "	0	$0 	0	--	--	--	"$328,268 "	"$10,423 "	"$33,775 "	$0 	"$26,775 "	$0 	"$188,080 "	$0 	"$560,106 "	--	"$1,544,359 "	--	--	--
"Eastern Connecticut State University (Willimantic, CT) "	$0 	$0 	$0 	$393 	"$3,467 "	"$9,254 "	$0 	$125 	"$37,677 "	3.20%	3.10%	2.90%	73.40%	--	"22,686"	717	"$46,946 "	0	$0 	0	--	--	--	"$2,828,687 "	"$10,061 "	"$4,890 "	$0 	"$4,813 "	$0 	"$417,085 "	$0 	"$543,101 "	--	"$3,285,464 "	--	--	--
"Eastern Illinois University (Charleston, IL) "	"$313,693 "	$0 	$0 	$820 	"$13,850 "	"$9,070 "	"$98,727 "	$0 	"$436,914 "	9.20%	--	0.00%	40.50%	--	"76,218"	"7,014"	"$1,084,616 "	"2,161"	"$431,854 "	--	--	--	--	"$358,577 "	"$11,859 "	"$89,390 "	"$5,285 "	"$66,040 "	"$166,498 "	"$308,438 "	"$431,854 "	"$1,126,197 "	--	"$3,956,263 "	--	--	--
"Eastern Kentucky University (Richmond, KY) "	--	--	--	--	--	--	--	--	--	10.60%	--	10.50%	100.00%	--	"76,319"	"8,101"	"$649,352 "	1	$25 	0	--	--	--	"$1,798,717 "	"$12,014 "	"$2,726,474 "	--	--	--	--	--	"$2,972,314 "	--	"$6,603,895 "	--	--	--
"Eastern Michigan University (Ypsilanti, MI) "	"$243,466 "	$0 	$750 	"$15,521 "	"$5,175 "	"$29,397 "	"$53,677 "	"$170,909 "	"$591,882 "	5.20%	--	5.10%	62.80%	--	"108,478"	"5,660"	"$749,378 "	570	"$153,104 "	66	--	--	--	"$10,408,597 "	"$8,355 "	"$815,535 "	$750 	"$605,785 "	"$54,759 "	"$10,188,924 "	"$153,104 "	"$12,387,984 "	--	"$13,318,794 "	--	--	--
"Eastern New Mexico University (Portales, NM) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Oregon State College (La Grande, OR) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Eastern Washington University (Cheney, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Edinboro Univ. of Pennsylvania (Edinboro, PA) "	$0 	$0 	$0 	$329 	$0 	"$7,473 "	"$40,750 "	"$37,758 "	"$236,888 "	13.80%	--	13.10%	97.00%	--	"36,559"	"5,043"	"$486,350 "	304	"$66,356 "	0	--	--	--	"$535,505 "	"$10,289 "	"$217,865 "	$0 	"$73,849 "	"$9,300 "	"$368,385 "	"$66,356 "	"$807,365 "	--	"$1,649,106 "	--	--	--
"Emporia State University (Emporia, KS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Evergreen State College (Olympia, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Fayetteville State University (Fayetteville, NC) "	--	--	--	--	--	--	--	--	--	9.40%	--	0.00%	57.10%	--	"16,922"	"1,584"	"$170,618 "	119	"$45,010 "	0	--	--	--	"$37,747 "	"$13,759 "	"$197,803 "	--	--	--	--	--	"$648,094 "	--	"$1,605,010 "	--	--	--
"Ferris State University (Big Rapids, MI) "	"$136,576 "	$0 	$50 	"$2,660 "	"$1,816 "	"$13,828 "	"$70,431 "	"$28,136 "	"$336,223 "	4.10%	--	3.80%	98.70%	--	"63,273"	"2,622"	"$3,482,291 "	"1,035"	"$264,513 "	5	--	--	--	"$1,906,511 "	"$16,460 "	"$790,143 "	$250 	"$783,619 "	"$125,015 "	"$604,715 "	"$264,513 "	"$2,328,438 "	--	"$11,203,882 "	--	--	--
"Fitchburg State College (Fitchburg, MA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Florida Gulf Coast University (Ft. Myers, FL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Fort Hays State University (Hays, KS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Fort Valley State University (Fort Valley, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Framingham State College (Framingham, MA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Francis Marion College (Florence, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Frostburg State University (Frostburg, MD) "	"$10,496 "	$0 	$0 	"$2,126 "	$20 	"$4,865 "	"$3,069 "	"$2,318 "	"$131,289 "	10.80%	--	10.40%	86.10%	--	"22,426"	"2,431"	"$195,403 "	172	"$32,185 "	0	--	--	--	"$147,089 "	"$9,115 "	"$31,334 "	$0 	"$1,080 "	"$23,302 "	"$132,618 "	"$32,623 "	"$344,161 "	--	"$1,945,580 "	--	--	--
"Georgia College & State University (Milledgeville, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
