unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,cntlaffi,pubprime,pubsecon,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,fopna,fopna1,fopna2,accrd1,accrd2,regaccrd,accrd3,accrd4,saccr,openadmp,admcon1,admcon2,admcon3,admcon4,admcon5,admcon6,admcon7,admcon8,yrscoll,stusrv1,stusrv2,stusrv3,stusrv4,stusrv8,stusrv9,libfac,rotc,rotc1,rotc2,rotc3,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,insttoyr,pctpost,calsys,apfee,"xappfeeu",applfeeu,"xappfeeg",applfeeg,"xappfeep",applfeep,ftstu,ft_ug,ft_ftug,ft_gd,ft_fp,tuitvary,room,"xroomcap",roomcap,board,"xmealswk",mealswk,"xroomamt",roomamt,"xbordamt",boardamt,"xrmbdamt",rmbrdamt
"127316","1","0","0","0","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-3","1","1","1","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","6","1",10,"100",31,"",31,"","1","1","2","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"128425","0","1","0","0","0","1","4","-2","-2","80","0","0","0","0","1","0","1","0","0","0","0","0","2","-2","-2","1","0","-2","0","0","1","2","3","2","2","2","1","1","3","3","-2","1","1","1","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","3","1",10,"300",10,"300",31,"","1","1","1","1","2","2","1",10,"96","1",10,"21",10,"2500",10,"3800",30,""
"129482","1","0","0","0","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","0","0","-2","1","0","1","2","-1","-1","1","-1","-1","-1","-1","-1","-3","1","1","0","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","6","1",10,"25",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"130378","1","0","0","1","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-1","-1","-1","-1","-1","-1","-1","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-1","-1",31,"",31,"",31,"","-1","-1","-1","-1","-1","-1","-1",31,"","-1",31,"",31,"",31,"",30,""
"131283","0","1","1","0","0","0","4","-2","-2","30","0","0","0","0","1","0","1","0","1","1","0","0","2","-2","-2","1","1","1","0","0","1","2","1","1","1","2","2","2","1","1","-2","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","0","0","1","192","1","164","1","164","1","164","-3","-3","1","1",10,"55",10,"55",10,"55","1","1","1","1","1","2","1",10,"1676","1",10,"21",10,"4489",10,"3584",30,""
"132666","1","0","0","0","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-3","0","1","0","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","6","1",10,"100",31,"",31,"","1","1","2","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"133775","0","1","0","0","0","0","4","-2","-2","79","1","0","1","1","1","0","1","0","1","0","0","0","1","1","0","0","1","8","1","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","0","0","0","0","0","1","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","-1","-1",31,"",31,"",31,"","-1","-1","-1","-1","-1","-1","-1",31,"","-1",31,"",31,"",31,"",30,""
"134574","1","0","0","0","0","0","2","-2","-2","-2","1","0","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","2","2","3","1","3","-1","3","3","3","-3","0","1","0","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","6","1",10,"25",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"135610","0","1","0","0","0","0","4","-2","-2","38","0","0","0","0","1","1","1","0","0","0","0","0","2","-2","-2","1","1","5","1","0","1","3","-2","-2","-2","-2","-2","-2","-2","-2","1","0","0","0","0","0","1","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","1",10,"25",10,"25",31,"","1","1","2","1","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"136543","1","1","0","0","0","0","2","-2","-2","-2","1","0","0","0","0","0","0","0","0","0","0","0","2","-2","-2","0","0","-2","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","0","0","0","1","0","0","-1","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-1","-1",31,"",31,"",31,"","-1","-1","-1","-1","-1","-1","-1",31,"","-1",31,"",31,"",31,"",30,""
"137379","0","1","0","0","0","0","2","-2","-2","-2","1","0","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-3","0","1","0","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","6","1",10,"150",30,"",30,"","1","1","2","2","2","2","1",10,"400","1",10,"19",10,"1440",10,"1440",30,""
"138497","1","1","0","1","1","1","1","2","0","-2","1","1","0","1","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","1","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","1","2",31,"","3",31,"",30,"",30,"",31,""
